# syst, prompt_ratio, error
Central, 0.17455803888790217, 7.658352385597057e-05
PileupReweight, 0.1723039491877725, 6.843326688896363e-05
L1PrefireUp, 0.17490890072637694, 7.462348057424184e-05
L1PrefireDown, 0.17422031172580243, 7.860743424610656e-05
ElectronRecoSFUp, 0.17458213984760773, 7.738659367636713e-05
ElectronRecoSFDown, 0.17455803888790217, 7.658352385597057e-05
HeavyTagUpUnCorr, 0.17454334024144758, 7.658704942295518e-05
HeavyTagDownUnCorr, 0.17457249948354134, 7.657626930955238e-05
LightTagUpUnCorr, 0.17349501098136322, 7.431354777603259e-05
LightTagDownUnCorr, 0.17558706489366868, 7.880277748594736e-05
JetResUp, 0.1739372201601687, 7.051046505611994e-05
JetResDown, 0.17302653808192028, 7.427577456772486e-05
JetEnUp, 0.17569542746303773, 7.660949886131619e-05
JetEnDown, 0.17517265561251558, 7.904430576031314e-05
ElectronResUp, 0.17455640138830997, 7.632128614609987e-05
ElectronResDown, 0.17455803888790217, 7.658352385597057e-05
ElectronEnUp, 0.17443551325304235, 7.8956282373611e-05
ElectronEnDown, 0.17468557603686516, 7.787416283553857e-05
MuonEnUp, 0.1745579296243513, 7.658357790797636e-05
MuonEnDown, 0.17455835211338594, 7.658381516807687e-05
total error = 0.0031616658065099857(1.81%)
