# syst, prompt_ratio, error
Central, 0.505093259160354, 7.081673627752886e-05
PileupReweight, 0.4986241004757943, 6.7119625798373e-05
L1PrefireUp, 0.504786491552515, 7.03808479429082e-05
L1PrefireDown, 0.505411966321183, 7.125678023275594e-05
MuonRecoSFUp, 0.5050891702062433, 7.08233105849297e-05
MuonRecoSFDown, 0.5050973599403769, 7.081014288043956e-05
HeavyTagUpUnCorr, 0.5053283074985849, 7.104011977224793e-05
HeavyTagDownUnCorr, 0.504858748593485, 7.058619314934976e-05
LightTagUpUnCorr, 0.5053861089083326, 7.138149758293631e-05
LightTagDownUnCorr, 0.5048014861404466, 7.022865679386333e-05
JetResUp, 0.4975408933718206, 6.579179660330839e-05
JetResDown, 0.5054699279318229, 7.006712837746651e-05
JetEnUp, 0.4916599077402257, 6.0922842575323616e-05
JetEnDown, 0.5111815785695577, 7.93628807735187e-05
ElectronResUp, 0.5050934672099215, 7.081671403856682e-05
ElectronResDown, 0.505093259160354, 7.081673627752886e-05
ElectronEnUp, 0.5050924273630415, 7.081615653953822e-05
ElectronEnDown, 0.5050946030364316, 7.081765368854288e-05
MuonEnUp, 0.5050116799274604, 7.114820134740459e-05
MuonEnDown, 0.505180938570633, 6.922830471363152e-05
total error = 0.016721198455010713(3.31%)
