# syst, prompt_ratio, error
Central, 0.1597408931944918, 2.917913293394584e-05
PileupReweight, 0.160365712160131, 3.497765926678743e-05
L1PrefireUp, 0.15964048821217458, 2.888814308721221e-05
L1PrefireDown, 0.15984229937061295, 2.946783518385478e-05
MuonRecoSFUp, 0.15974117962947068, 2.918691681436518e-05
MuonRecoSFDown, 0.1597406053820929, 2.9171329686912098e-05
HeavyTagUpUnCorr, 0.1598468967354073, 2.9268033187660307e-05
HeavyTagDownUnCorr, 0.15963491239188043, 2.908769267422338e-05
LightTagUpUnCorr, 0.15978874957967326, 2.9404154060666607e-05
LightTagDownUnCorr, 0.1596934723501568, 2.8936160533923383e-05
JetResUp, 0.15914327850457263, 2.8206472378857243e-05
JetResDown, 0.16008617637571743, 2.87478400210602e-05
JetEnUp, 0.15696816778273137, 2.5730639018913525e-05
JetEnDown, 0.1615159456989691, 3.243984177625176e-05
ElectronResUp, 0.15974097868948622, 2.9179137563276267e-05
ElectronResDown, 0.1597408931944918, 2.917913293394584e-05
ElectronEnUp, 0.15974052187707086, 2.9178775392246064e-05
ElectronEnDown, 0.15974146440749387, 2.917947686723796e-05
MuonEnUp, 0.15966916892390198, 2.9114815488811413e-05
MuonEnDown, 0.16002793061252407, 3.0218467840229113e-05
total error = 0.002922772789813734(1.83%)
