# syst, prompt_ratio, error
Central, 0.08948356999602096, 6.558792049033503e-05
PileupReweight, 0.09037683475210963, 6.85102411414132e-05
L1PrefireUp, 0.0895204804368821, 6.395820517339364e-05
L1PrefireDown, 0.08945455586539991, 6.725995386528929e-05
ElectronRecoSFUp, 0.08901062647370783, 6.496944883765836e-05
ElectronRecoSFDown, 0.08948356999602096, 6.558792049033503e-05
HeavyTagUpUnCorr, 0.08946058271951374, 6.570273015488457e-05
HeavyTagDownUnCorr, 0.08950635844319532, 6.548309908864362e-05
LightTagUpUnCorr, 0.08948706698679307, 6.559831532400504e-05
LightTagDownUnCorr, 0.0894801211760501, 6.556344699514405e-05
JetResUp, 0.08985512842431072, 6.443081673105368e-05
JetResDown, 0.08902315437767098, 6.495330466300588e-05
JetEnUp, 0.08834914037626267, 6.078645537852402e-05
JetEnDown, 0.09065138617259066, 7.095466434352637e-05
ElectronResUp, 0.08948353560627573, 6.566795625957635e-05
ElectronResDown, 0.08948356999602096, 6.558792049033503e-05
ElectronEnUp, 0.0894174514957993, 6.703890593797427e-05
ElectronEnDown, 0.08955210203876472, 6.450599059674652e-05
MuonEnUp, 0.08948351336100188, 6.558791556011532e-05
MuonEnDown, 0.08948380192493771, 6.558806359046344e-05
total error = 0.0016150158387109924(1.80%)
