# syst, prompt_ratio, error
Central, 0.2392849372295185, 0.00010498635324763216
PileupReweight, 0.2412219829033378, 0.0001061831306911137
L1PrefireUp, 0.23923771352633239, 0.00010379603433399568
L1PrefireDown, 0.23934738001702371, 0.00010618144678338617
ElectronRecoSFUp, 0.23685031525059747, 0.00010191472307186572
ElectronRecoSFDown, 0.2392849372295185, 0.00010498635324763216
HeavyTagUpUnCorr, 0.23913102249987683, 0.00010496971493974805
HeavyTagDownUnCorr, 0.2394385473839996, 0.00010502521665093153
LightTagUpUnCorr, 0.23915508052927703, 0.00010463497502386297
LightTagDownUnCorr, 0.23941477985257437, 0.00010533527563543873
JetResUp, 0.2391317169098376, 0.00010330878756506772
JetResDown, 0.23719056078760425, 0.00010425943584972676
JetEnUp, 0.2345528986694151, 9.522569629707044e-05
JetEnDown, 0.24198643599409303, 0.000112509859195331
ElectronResUp, 0.2392844262871513, 0.00010505783127382389
ElectronResDown, 0.2392849372295185, 0.00010498635324763216
ElectronEnUp, 0.23882757436201646, 0.00010513757850628233
ElectronEnDown, 0.239707514238385, 0.00010675040591899265
MuonEnUp, 0.23928480260626347, 0.00010498598650648715
MuonEnDown, 0.23928552349839305, 0.00010498701862321975
total error = 0.006059932910311725(2.53%)
