# syst, prompt_ratio, error
Central, 0.052812438719312606, 0.00010796807351176514
PileupReweight, 0.05261638122909473, 0.0001803166610676264
L1PrefireUp, 0.052753658437402914, 0.0001070208295464548
L1PrefireDown, 0.05288587252122894, 0.00010903802632696685
MuonRecoSFUp, 0.05281219864576716, 0.00010799364031732173
MuonRecoSFDown, 0.052812679203739506, 0.00010794244015803422
HeavyTagUpUnCorr, 0.052813637670093706, 9.760938419165299e-05
HeavyTagDownUnCorr, 0.05281119738380648, 0.00011541838706402888
LightTagUpUnCorr, 0.052816908622915465, 0.00010808529410527784
LightTagDownUnCorr, 0.05280810108819651, 0.00010783251588849678
JetResUp, 0.05263882448462316, 0.00010495146185873793
JetResDown, 0.052865266755823426, 0.00010688415436842225
JetEnUp, 0.05163285830597998, 9.303439919386055e-05
JetEnDown, 0.05378663456739198, 0.0001195531659120232
ElectronResUp, 0.05281246516128915, 0.00010796805060554999
ElectronResDown, 0.052812438719312606, 0.00010796807351176514
ElectronEnUp, 0.05281230236826282, 0.00010796688370336786
ElectronEnDown, 0.05281259294478308, 0.00010796773290485946
MuonEnUp, 0.052740463512201394, 0.00010619377567227347
MuonEnDown, 0.05287099277750573, 0.00011258057900945783
total error = 0.0012174736364066454(2.31%)
