prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 2698.000000, 0.550424, 0.000000
ptcorr_25to35_EB2, 2396.000000, 0.120031, 0.283510
ptcorr_25to35_EE, 4744.000000, 0.014525, 0.335070
ptcorr_35to50_EB1, 2492.000000, 0.002179, 0.268470
ptcorr_35to50_EB2, 2323.000000, 0.011650, 0.297417
ptcorr_35to50_EE, 4836.000000, 0.039596, 0.289177
ptcorr_50to100_EB1, 2301.000000, 0.037738, 0.184682
ptcorr_50to100_EB2, 2079.000000, 0.001940, 0.196516
ptcorr_50to100_EE, 4629.000000, 0.003418, 0.159878
ptcorr_100to200_EB1, 472.000000, 0.030019, 0.197209
ptcorr_100to200_EB2, 425.000000, 0.000001, 0.219906
ptcorr_100to200_EE, 835.000000, 0.000000, 0.024822
