prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 9939.000000, 0.075088, 0.084018
ptcorr_25to35_EB2, 9382.000000, 0.071438, 0.306308
ptcorr_25to35_EE, 21359.000000, 0.095288, 0.279693
ptcorr_35to50_EB1, 9539.000000, 0.071396, 0.074435
ptcorr_35to50_EB2, 8794.000000, 0.080999, 0.104805
ptcorr_35to50_EE, 18121.000000, 0.160547, 0.129722
ptcorr_50to100_EB1, 10105.000000, 0.132812, 0.000000
ptcorr_50to100_EB2, 8915.000000, 0.149179, 0.000000
ptcorr_50to100_EE, 16011.000000, 0.188935, 0.029132
ptcorr_100to200_EB1, 1956.000000, 0.211431, 0.053962
ptcorr_100to200_EB2, 1611.000000, 0.200882, 0.076884
ptcorr_100to200_EE, 2507.000000, 0.108946, 0.056188
