prefix, data, QCD_EMEnriched, QCD_bcToE
ptcorr_25to35_EB1, 1141.000000, 0.225970, 0.000000
ptcorr_25to35_EB2, 954.000000, 0.087761, 0.208479
ptcorr_25to35_EE, 1615.000000, 0.021683, 0.316009
ptcorr_35to50_EB1, 1006.000000, 0.004167, 0.100432
ptcorr_35to50_EB2, 848.000000, 0.005511, 0.134650
ptcorr_35to50_EE, 1217.000000, 0.000000, 0.219319
ptcorr_50to100_EB1, 1300.000000, 0.005043, 0.081309
ptcorr_50to100_EB2, 921.000000, 0.000002, 0.088363
ptcorr_50to100_EE, 1205.000000, 0.000000, 0.126603
ptcorr_100to200_EB1, 341.000000, 0.020107, 0.120744
ptcorr_100to200_EB2, 265.000000, 0.000004, 0.200274
ptcorr_100to200_EE, 205.000000, 0.043085, 0.068840
