,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,33629910.98839396,180231.73410050606
ptCorr_10to15_abseta_0p8to1p479,20262770.158605676,139931.43674310227
ptCorr_10to15_abseta_1p479to2p5,16696756.197054898,126824.59563293924
ptCorr_15to20_abseta_0p0to0p8,18267970.813194323,134031.5941010888
ptCorr_15to20_abseta_0p8to1p479,12457730.048200943,110620.67488401558
ptCorr_15to20_abseta_1p479to2p5,12876191.473109433,112246.96780833545
ptCorr_20to25_abseta_0p0to0p8,9717194.066766916,98206.97555740518
ptCorr_20to25_abseta_0p8to1p479,7087165.684965508,83821.33481484502
ptCorr_20to25_abseta_1p479to2p5,7732938.328203058,87236.70162212562
ptCorr_25to35_abseta_0p0to0p8,9528398.424441708,96706.28895464147
ptCorr_25to35_abseta_0p8to1p479,7267161.836564128,84303.51002353063
ptCorr_25to35_abseta_1p479to2p5,8067857.511657272,88033.97469336243
ptCorr_35to50_abseta_0p0to0p8,4881328.493072619,66236.28898572676
ptCorr_35to50_abseta_0p8to1p479,3916841.907790713,58938.16799260055
ptCorr_35to50_abseta_1p479to2p5,4270757.350148085,60431.02560037776
ptCorr_50to100_abseta_0p0to0p8,2401191.629655568,35565.44293485662
ptCorr_50to100_abseta_0p8to1p479,1923225.9324820763,31249.57240105347
ptCorr_50to100_abseta_1p479to2p5,2374670.1698466158,34216.10178077367
