,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,1131448.4643860764,140308.5194727399
ptCorr_10to15_abseta_0p8to1p479,1388727.0646112883,164875.54405025663
ptCorr_10to15_abseta_1p479to2p5,3940117.786939526,275217.597759051
ptCorr_15to20_abseta_0p0to0p8,1539274.3642981367,180214.31771811593
ptCorr_15to20_abseta_0p8to1p479,1909943.483600545,195484.87985683602
ptCorr_15to20_abseta_1p479to2p5,8750781.094906319,424984.24546434416
ptCorr_20to25_abseta_0p0to0p8,3621396.2605028395,280322.7569371768
ptCorr_20to25_abseta_0p8to1p479,3632320.6285333647,279886.52531142154
ptCorr_20to25_abseta_1p479to2p5,16501917.231715817,584219.5108229691
ptCorr_25to35_abseta_0p0to0p8,6920193.456794995,383687.3075782201
ptCorr_25to35_abseta_0p8to1p479,6235047.661236009,347511.5996875454
ptCorr_25to35_abseta_1p479to2p5,30449561.488888808,785554.6021340113
ptCorr_35to50_abseta_0p0to0p8,5662282.345165603,291553.0413867481
ptCorr_35to50_abseta_0p8to1p479,6240551.688569893,296600.9473002466
ptCorr_35to50_abseta_1p479to2p5,27577525.782958616,613787.8304676678
ptCorr_50to100_abseta_0p0to0p8,3389155.7572432677,142182.39078116594
ptCorr_50to100_abseta_0p8to1p479,4160721.7866774313,159668.53275988082
ptCorr_50to100_abseta_1p479to2p5,23221173.461283404,370735.1183439268
