,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,0.5612680893933445,0.005013447007684355
ptCorr_10to15_abseta_0p8to1p479,0.6009797104379369,0.006772792833377195
ptCorr_10to15_abseta_1p479to2p5,0.6592281483663396,0.007941148669687984
ptCorr_15to20_abseta_0p0to0p8,0.3630785744170597,0.005161939752665401
ptCorr_15to20_abseta_0p8to1p479,0.41294888636290544,0.006779657321364851
ptCorr_15to20_abseta_1p479to2p5,0.46838236278540857,0.007223077329488437
ptCorr_20to25_abseta_0p0to0p8,0.27976221943827423,0.006055027840740742
ptCorr_20to25_abseta_0p8to1p479,0.3162588999391185,0.007625218762838233
ptCorr_20to25_abseta_1p479to2p5,0.3616623430819147,0.007911935313865434
ptCorr_25to35_abseta_0p0to0p8,0.19441019677891908,0.004896083784533167
ptCorr_25to35_abseta_0p8to1p479,0.2397946187946741,0.006334075816736947
ptCorr_25to35_abseta_1p479to2p5,0.26757143685587603,0.006349415182704993
ptCorr_35to50_abseta_0p0to0p8,0.12948677040393985,0.005197293122998586
ptCorr_35to50_abseta_0p8to1p479,0.16826310132849573,0.006691596479631147
ptCorr_35to50_abseta_1p479to2p5,0.21084736532500473,0.0071795937310437236
ptCorr_50to100_abseta_0p0to0p8,0.10187707523696803,0.0047612885254937655
ptCorr_50to100_abseta_0p8to1p479,0.14962699124756926,0.006620834472807824
ptCorr_50to100_abseta_1p479to2p5,0.1694321687829381,0.006364922288531134
