,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,549254.1912233349,94424.00897579394
ptCorr_10to15_abseta_0p8to1p479,927540.0554730133,134069.29890699158
ptCorr_10to15_abseta_1p479to2p5,2061841.132597419,189772.46896977813
ptCorr_15to20_abseta_0p0to0p8,469761.0976606981,96277.74959141861
ptCorr_15to20_abseta_0p8to1p479,743165.7492726867,126533.86777344748
ptCorr_15to20_abseta_1p479to2p5,2745634.852999352,231226.8139022903
ptCorr_20to25_abseta_0p0to0p8,897864.1528496384,135117.55339294835
ptCorr_20to25_abseta_0p8to1p479,1002799.1033072006,141180.91004673202
ptCorr_20to25_abseta_1p479to2p5,4311329.774454437,294447.6157657093
ptCorr_25to35_abseta_0p0to0p8,678779.0683498216,112182.63364128435
ptCorr_25to35_abseta_0p8to1p479,965410.9934256879,128557.86770170838
ptCorr_25to35_abseta_1p479to2p5,4966037.0590363825,318511.71269626677
ptCorr_35to50_abseta_0p0to0p8,631412.4757302596,99224.11086526829
ptCorr_35to50_abseta_0p8to1p479,979625.972163755,119193.51571390875
ptCorr_35to50_abseta_1p479to2p5,3469448.2223478616,215076.1065946513
ptCorr_50to100_abseta_0p0to0p8,469569.20553349884,60853.51765390711
ptCorr_50to100_abseta_0p8to1p479,627534.1139591194,54217.37442009652
ptCorr_50to100_abseta_1p479to2p5,2695070.1895684004,125392.24430389919
