,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,18875395.88692412,134883.47993819774
ptCorr_10to15_abseta_0p8to1p479,12177513.74258931,108450.2888087046
ptCorr_10to15_abseta_1p479to2p5,11006971.671508709,102909.98433085444
ptCorr_15to20_abseta_0p0to0p8,6632708.80034705,80771.02801466605
ptCorr_15to20_abseta_0p8to1p479,5144405.750014285,71039.57711080543
ptCorr_15to20_abseta_1p479to2p5,6030980.985852326,76720.18738663969
ptCorr_20to25_abseta_0p0to0p8,2718503.7788311425,52029.24629310521
ptCorr_20to25_abseta_0p8to1p479,2241379.2232134608,47092.56958740405
ptCorr_20to25_abseta_1p479to2p5,2796712.5946858623,52420.24664182161
ptCorr_25to35_abseta_0p0to0p8,1852417.812683655,42695.7609477147
ptCorr_25to35_abseta_0p8to1p479,1742626.3023180987,41354.113987275894
ptCorr_25to35_abseta_1p479to2p5,2158728.226742609,45489.17912269455
ptCorr_35to50_abseta_0p0to0p8,632067.4618487039,23875.955371716078
ptCorr_35to50_abseta_0p8to1p479,659059.9668182873,24261.305568894906
ptCorr_35to50_abseta_1p479to2p5,900477.9352211223,27889.51978188366
ptCorr_50to100_abseta_0p0to0p8,244626.38031279817,10843.422664550637
ptCorr_50to100_abseta_0p8to1p479,287766.50976659387,11843.798253534447
ptCorr_50to100_abseta_1p479to2p5,402345.51702126017,13958.584454768998
