0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
chromosome,"(128, 'Adam', 0.001, 'StepLR')","(64, 'Adam', 0.01, 'CyclicLR')","(64, 'Adadelta', 0.002, 'StepLR')","(64, 'Adam', 0.002, 'StepLR')","(128, 'Adadelta', 0.002, 'CyclicLR')","(128, 'AdamW', 0.001, 'ExponentialLR')","(64, 'Adadelta', 0.01, 'StepLR')","(128, 'AdamW', 0.001, 'CyclicLR')","(64, 'AdamW', 0.001, 'CyclicLR')","(64, 'Adam', 0.002, 'CyclicLR')","(64, 'AdamW', 0.001, 'StepLR')","(64, 'Adam', 0.001, 'StepLR')","(64, 'AdamW', 0.005, 'StepLR')","(64, 'Adam', 0.005, 'StepLR')","(128, 'AdamW', 0.001, 'StepLR')","(128, 'Adam', 0.002, 'StepLR')","(128, 'AdamW', 0.002, 'CyclicLR')","(128, 'Adam', 0.002, 'CyclicLR')"
fitness,0.5318572673116412,0.5981695357277281,0.7071851871127174,0.5373081266880035,0.7175192576817104,0.5645226887748356,0.694606625693185,0.5383225284531004,0.5263797094027202,0.5525047127859934,0.5524612833658855,0.5520768358593895,0.5507050263086954,0.5465118769691104,0.542695236523946,0.5426345411936443,0.5380106971604484,0.5363739304088412
