0,1,2,3,4,5,6,7,8,9,10,11,12,13
chromosome,"(128, 'NAdam', 0.0005, 'StepLR')","(64, 'Adam', 0.01, 'CyclicLR')","(64, 'RAdam', 0.0001, 'StepLR')","(32, 'RAdam', 0.01, 'CyclicLR')","(128, 'RAdam', 0.0001, 'StepLR')","(32, 'NAdam', 0.0001, 'CyclicLR')","(128, 'RAdam', 0.001, 'StepLR')","(128, 'RAdam', 0.002, 'CyclicLR')","(128, 'RAdam', 0.002, 'StepLR')","(128, 'RAdam', 0.01, 'StepLR')","(128, 'RAdam', 0.01, 'StepLR')","(128, 'NAdam', 0.001, 'CyclicLR')","(128, 'NAdam', 0.002, 'CyclicLR')","(128, 'NAdam', 0.001, 'StepLR')"
fitness,0.00045615257642099994,0.0004615518328335,0.00047781406396190003,0.00046520141086409995,0.00046635216510010005,0.00048096383646829995,0.00044877142742989995,0.0004527500711737,0.00045263143061160003,0.0004522810464812,0.0004522810464812,0.0004497806671119,0.00044879843950979995,0.0004453907275483
