,loss/train,loss/valid,acc/train,acc/valid
0,0.0007048161608122644,0.0007171833217144012,0.5099404761904762,0.5121785714285715
1,0.0005277402496763639,0.0005380674515451703,0.78175,0.78075
2,0.0004882735911579359,0.000497189493051597,0.8087559523809524,0.8089642857142857
3,0.0004722325899416492,0.0004812772912638528,0.8281130952380953,0.82925
4,0.0004686532334557601,0.00047735894897154397,0.8301726190476191,0.8305357142857143
5,0.00046417376576435,0.00047335542206253326,0.839922619047619,0.84
6,0.00045852221442120415,0.000468079037964344,0.8509702380952381,0.8496785714285714
7,0.00045650595018551464,0.00046606674577508655,0.8506011904761904,0.8493928571428572
8,0.00045556709791223207,0.0004644026160240173,0.8529107142857143,0.8518571428571429
9,0.00046418987001691544,0.00047256688347884586,0.8403154761904762,0.8404642857142857
10,0.00045520590671471186,0.00046442618646792003,0.8533333333333334,0.8515357142857143
11,0.00045652089959808756,0.00046518960914441516,0.8506964285714286,0.8510714285714286
12,0.000456170274743012,0.0004645962970597403,0.8489761904761904,0.8481428571428572
13,0.00045014845757257373,0.0004586248780999865,0.855452380952381,0.8551428571428571
14,0.0004496374467299098,0.00045804579981735777,0.8554583333333333,0.8552142857142857
15,0.0004479269789797919,0.0004561518122042928,0.8599107142857143,0.8592142857142857
16,0.0004458382532355331,0.000454866176205022,0.8612440476190476,0.8603928571428572
17,0.00044767347936119353,0.0004561729026692254,0.8589702380952381,0.8590357142857142
18,0.00045043133341130757,0.00045905250098024096,0.857,0.8578214285714286
19,0.00045543555879876726,0.000463987440935203,0.856202380952381,0.8559285714285715
20,0.0004533960432523773,0.00046135678780930386,0.8561190476190477,0.8548928571428571
21,0.0004490509329452401,0.0004573305951697486,0.8595952380952381,0.8584642857142857
22,0.000452705999925023,0.00046143975853919983,0.8547261904761905,0.8529285714285715
23,0.00044639103167823385,0.00045557143645627156,0.8628154761904762,0.8606071428571429
24,0.00044628925532812165,0.0004551574257867677,0.8623571428571428,0.8624285714285714
25,0.00044618048944643565,0.0004549801477364131,0.8615952380952381,0.8605
26,0.00045054499113133975,0.00045983325370720454,0.8507738095238095,0.8500357142857143
27,0.0004508633320885045,0.0004591999362621989,0.8562678571428571,0.85625
28,0.0004477922192641667,0.0004567532166838646,0.860827380952381,0.8596428571428572
29,0.000450948742883546,0.00046006277948617934,0.8610714285714286,0.8599285714285714
30,0.00044580051569002014,0.00045428942888975143,0.8633333333333333,0.8626785714285714
31,0.00044507286963718276,0.0004539788333433015,0.8620357142857142,0.86125
32,0.00044313720525020645,0.00045190024375915526,0.8655059523809524,0.8653214285714286
33,0.00044467873906805404,0.0004531742919768606,0.8641309523809524,0.8632857142857143
34,0.00044636566883751326,0.0004550280070730618,0.8604047619047619,0.8595357142857143
35,0.0004496993656669344,0.00045878326679979053,0.8594464285714286,0.85825
36,0.0004536291511640662,0.00046257604765040535,0.8568214285714286,0.85625
37,0.0004465952895226933,0.0004550991686327117,0.8612142857142857,0.8614285714285714
38,0.00044753939303613846,0.0004552344403096608,0.8604166666666667,0.8619642857142857
39,0.00044494325153174855,0.0004534965977072716,0.8647202380952381,0.8635
40,0.00044371818822054636,0.00045232061935322624,0.8651369047619047,0.8645714285714285
41,0.0004441950681308905,0.00045307420939207077,0.8649880952380953,0.8657857142857143
42,0.00044599638187459536,0.00045508668571710587,0.8628630952380952,0.8624642857142857
43,0.0004476135965614092,0.0004567479086773736,0.8633214285714286,0.8624285714285714
44,0.00045551184245518273,0.00046478333537067684,0.8567738095238095,0.8562142857142857
45,0.0004430766570426169,0.0004521053263119289,0.8637321428571428,0.8629642857142857
46,0.0004451396403213342,0.00045413651849542347,0.8648333333333333,0.8636428571428572
47,0.00044132267967576073,0.0004498480558395386,0.8652797619047619,0.865
48,0.0004406503304129555,0.00044882109974111827,0.8670119047619048,0.8677142857142857
49,0.0004417696967720985,0.0004507084073764937,0.8660833333333333,0.8642857142857143
50,0.0004438898251170204,0.00045257608805383955,0.8628690476190476,0.86275
51,0.0004456432323370661,0.0004538320537124361,0.8619523809523809,0.861
52,0.0004563718212857133,0.0004639138483575412,0.8541726190476191,0.8549285714285715
53,0.0004433985407508555,0.00045077108698231836,0.864827380952381,0.8651071428571429
54,0.00044487822233211426,0.00045306103357246945,0.8641607142857143,0.8642857142857143
55,0.0004416730918344997,0.0004503485911658832,0.8669345238095238,0.8658571428571429
56,0.0004407679843051093,0.00044914343101637704,0.8683035714285714,0.8678214285714285
57,0.00044438208568663823,0.0004524115888135774,0.8649880952380953,0.8659285714285714
58,0.00044631125086120195,0.00045431170825447356,0.8593095238095239,0.8595714285714285
59,0.00044722480805856843,0.0004560864152652877,0.8640654761904762,0.8628214285714285
60,0.0004435818303553831,0.00045240906945296695,0.8637678571428572,0.8627857142857143
61,0.0004452935246129831,0.00045385113464934486,0.8642380952380952,0.86525
62,0.00044365681016019415,0.0004520949231726783,0.86275,0.8621071428571428
63,0.00044502553237336023,0.0004533193004982812,0.8658154761904762,0.8662142857142857
