,loss/train,loss/valid,acc/train,acc/valid
0,0.0004262396151584292,0.00043282160588673185,0.8784285714285714,0.8783333333333333
1,0.0004258010955083938,0.0004338936663809277,0.8823015873015873,0.8812857142857143
2,0.00043039804602426195,0.000438094151871545,0.8826190476190476,0.8819523809523809
3,0.00042778417846513173,0.0004354767529737382,0.8845,0.883
4,0.0004272226963251356,0.0004353692290328798,0.8832301587301588,0.882095238095238
5,0.0004406901782467252,0.00044839228902544294,0.8866507936507937,0.8852857142857142
6,0.0004357189727681024,0.0004440978495847611,0.8859365079365079,0.8833333333333333
7,0.00043946071442157504,0.0004472687556630089,0.8877936507936508,0.8865238095238095
8,0.0004286600703757907,0.00043692410134133836,0.883515873015873,0.882
9,0.0004468153672558921,0.00045539602921122594,0.8906984126984127,0.8883333333333333
10,0.00042452974451912776,0.00043310523742721193,0.8931111111111111,0.8896666666666667
11,0.0004373313049002299,0.00044549808615729924,0.8840555555555556,0.8829047619047619
12,0.00042717727096307847,0.0004355329048065912,0.8899761904761905,0.8866190476190476
13,0.00041863066738560085,0.00042577832085745674,0.8957063492063492,0.894
14,0.00041958981397606076,0.0004267101018201737,0.8923809523809524,0.8912380952380953
15,0.0004219421304407574,0.00042950950066248576,0.8924841269841269,0.8906190476190476
16,0.00042320271049227034,0.0004313584736415318,0.8948888888888888,0.8917619047619048
17,0.0004283041831046816,0.00043626131046385993,0.8886746031746032,0.8867142857142857
18,0.00041987794259237864,0.0004277499389080774,0.8954841269841269,0.8934285714285715
19,0.0004195098174469812,0.0004273482277279808,0.8946111111111111,0.8917619047619048
20,0.0004266266607575946,0.00043551176076843623,0.8965238095238095,0.8931904761904762
21,0.00041556395992400154,0.0004238375751745133,0.899015873015873,0.8964761904761904
22,0.0004263080746408493,0.0004347010382584163,0.8925873015873016,0.8895238095238095
23,0.0004133265834479105,0.0004224621738706316,0.8961746031746032,0.8934285714285715
24,0.0004203472106702744,0.00042900275758334566,0.8983730158730159,0.8946190476190476
25,0.00042018852205503554,0.00042819486487479435,0.8946587301587302,0.8928571428571429
26,0.0004202348201993912,0.0004291684826215108,0.8982142857142857,0.896
27,0.00041900967818404,0.0004270088757787432,0.8978015873015873,0.8956666666666667
28,0.0004192595798817892,0.0004277487312044416,0.8973253968253968,0.8942380952380953
29,0.0004193075602016752,0.0004277485963844118,0.8996190476190477,0.8956190476190476
30,0.000414847287630278,0.0004231498184658232,0.8975952380952381,0.8939047619047619
31,0.0004244178928553112,0.0004330859539054689,0.8976190476190476,0.8942857142857142
32,0.0004139629053691077,0.0004218837817509969,0.9008015873015873,0.899
33,0.0004176950878094113,0.0004256289927732377,0.8988888888888888,0.8973333333333333
34,0.000413388632119648,0.00042140390901338485,0.9002698412698412,0.8968571428571429
35,0.0004132248560587565,0.00042044976353645323,0.8982619047619048,0.8963333333333333
36,0.0004144756545623144,0.00042191087490036375,0.9001349206349206,0.8978571428571429
37,0.0004186090233307036,0.0004264047741889954,0.9002777777777777,0.8973809523809524
38,0.00041383612084956397,0.00042240755756696067,0.8977857142857143,0.8934761904761904
39,0.0004154639095067978,0.00042356966506867184,0.897436507936508,0.8944761904761904
40,0.00041222068501843345,0.00042033773092996506,0.9018809523809523,0.8996666666666666
41,0.00042254926075064946,0.000430945417710713,0.901,0.8980952380952381
42,0.0004127254415126074,0.00042061726252237957,0.9014444444444445,0.9000476190476191
43,0.0004146822669676372,0.0004223152824810573,0.9000079365079365,0.8977142857142857
44,0.0004106865813807836,0.00041872060866582963,0.9015634920634921,0.8992380952380953
45,0.0004205016732688934,0.000428205349615642,0.8998650793650793,0.8971428571428571
46,0.0004189574269075242,0.00042719919908614385,0.9005952380952381,0.8976666666666666
47,0.00041728357308440736,0.0004250241219997406,0.9001984126984127,0.8976190476190476
48,0.00042070212085095664,0.0004290700540656135,0.9014603174603174,0.8991904761904762
49,0.0004117779287080916,0.0004202186763286591,0.9013809523809524,0.8981428571428571
50,0.00041922108355968717,0.0004276691845485142,0.8984920634920635,0.8955714285714286
51,0.00041079713427831255,0.0004188184596243359,0.9003968253968254,0.8988095238095238
52,0.0004145525722276597,0.00042236986188661483,0.9008650793650793,0.8975714285714286
53,0.0004105671920946666,0.0004186948963574001,0.9011190476190476,0.8986190476190477
54,0.0004124092093062779,0.0004213610248906272,0.9004603174603174,0.8967142857142857
55,0.00041703401505947113,0.00042588613146827333,0.8918095238095238,0.8881428571428571
56,0.00041507093726642546,0.0004241175041312263,0.8985714285714286,0.8945714285714286
57,0.000411741966529498,0.00042079061837423413,0.9019206349206349,0.899
58,0.00040909998899414424,0.0004184559966836657,0.9016746031746031,0.8974285714285715
59,0.00041474178622639366,0.00042377582760084244,0.9025555555555556,0.8973809523809524
