# syst, prompt_ratio, error
Central, 0.10019538413452836, 6.9057834105096485e-06
PileupReweight, 0.1000659698897462, 6.9574517731123786e-06
L1PrefireUp, 0.1001946044604689, 6.905685751290637e-06
L1PrefireDown, 0.10019610373579366, 6.9058716560861135e-06
ElectronRecoSFUp, 0.09975270208783453, 6.8475871515756436e-06
ElectronRecoSFDown, 0.10019538413452836, 6.9057834105096485e-06
HeavyTagUpUnCorr, 0.10015830747462542, 6.932506778389034e-06
HeavyTagDownUnCorr, 0.10023232168911796, 6.8782334287066815e-06
LightTagUpUnCorr, 0.10024451207822031, 6.91132133211492e-06
LightTagDownUnCorr, 0.10014680692760104, 6.897897208511618e-06
JetResUp, 0.10045800427902324, 6.785457882978892e-06
JetResDown, 0.100411551309811, 7.007110929052263e-06
JetEnUp, 0.09813105666382074, 6.423742611334712e-06
JetEnDown, 0.10232987599593496, 7.339847098686557e-06
ElectronResUp, 0.10019129097224153, 6.921180811588525e-06
ElectronResDown, 0.10019538413452836, 6.9057834105096485e-06
ElectronEnUp, 0.09999224443455956, 6.892779360720709e-06
ElectronEnDown, 0.10029505021669058, 7.224266530508794e-06
MuonEnUp, 0.10019528837298045, 6.905776465177594e-06
MuonEnDown, 0.10019554057841938, 6.905788365130129e-06
total error = 0.002209719288818338(2.21%)
