# syst, prompt_ratio, error
Central, 0.19619129756014564, 6.838187093900212e-05
PileupReweight, 0.19785895061598213, 6.922054874960965e-05
L1PrefireUp, 0.19615340756180788, 6.827518097961335e-05
L1PrefireDown, 0.19624370337972707, 6.852336649397003e-05
MuonRecoSFUp, 0.19618652348733379, 6.842245633170843e-05
MuonRecoSFDown, 0.19619607945686512, 6.834127242466463e-05
HeavyTagUpUnCorr, 0.19616642974589663, 6.833295522707895e-05
HeavyTagDownUnCorr, 0.19621582676853339, 6.842826276841803e-05
LightTagUpUnCorr, 0.19585552169098364, 6.732472386385199e-05
LightTagDownUnCorr, 0.196529828137529, 6.946551070213279e-05
JetResUp, 0.19316252270577206, 6.356193502253501e-05
JetResDown, 0.1979229108403522, 7.190653268943767e-05
JetEnUp, 0.1897736126529427, 5.055828533934059e-05
JetEnDown, 0.19917051405506114, 8.358392547148443e-05
ElectronResUp, 0.1961912995131995, 6.83818663343525e-05
ElectronResDown, 0.19619129756014564, 6.838187093900212e-05
ElectronEnUp, 0.19619111336226386, 6.838140978167231e-05
ElectronEnDown, 0.19619144958807844, 6.838225089091815e-05
MuonEnUp, 0.1961875124156845, 6.967750264742435e-05
MuonEnDown, 0.19621445583610903, 6.996588256039002e-05
total error = 0.007298248174575147(3.72%)
