# syst, prompt_ratio, error
Central, 0.07799939698102812, 0.00013716264220712057
PileupReweight, 0.0788055980453177, 0.00016362288197331273
L1PrefireUp, 0.0779858542110421, 0.00013594259935430236
L1PrefireDown, 0.07801816511356008, 0.00013875415834387333
MuonRecoSFUp, 0.07799774378371792, 0.00013806674224323555
MuonRecoSFDown, 0.07800105246593268, 0.00013626994355004192
HeavyTagUpUnCorr, 0.07796498302444016, 0.00013575339116041437
HeavyTagDownUnCorr, 0.07803377472009038, 0.00013853276819995782
LightTagUpUnCorr, 0.07720850263696963, 0.00011049597243119213
LightTagDownUnCorr, 0.07879728060962514, 0.00017581149360871285
JetResUp, 0.07693954521435349, 9.356013728693374e-05
JetResDown, 0.07759916391754751, 0.00011555277128718323
JetEnUp, 0.0753459320534409, 4.5872899180097375e-05
JetEnDown, 0.07619308373122377, 0.0009383606036642844
ElectronResUp, 0.07799939517199769, 0.00013716230926879308
ElectronResDown, 0.07799939698102812, 0.00013716264220712057
ElectronEnUp, 0.07799927746295393, 0.00013715834735494113
ElectronEnDown, 0.07799946096288633, 0.00013716620295872254
MuonEnUp, 0.07797346616687635, 0.00016227473059975117
MuonEnDown, 0.07817275515232693, 8.436104571718229e-05
total error = 0.00308239294934987(3.95%)
