masspoint,mA,mAErr,sigma,sigmaErr,width,widthErr
MHc-70_MA-15,14.986927897946149,0.0008782600072611773,0.11499110672896506,0.0015890501002512394,0.1082319010570752,0.002622967076760712
MHc-70_MA-40,39.95425439418562,0.002023279069789313,0.3096066364537694,0.004254061234396223,0.3632457104903961,0.007533870370694792
MHc-70_MA-65,64.90614089356862,0.0033241173112030136,0.5650322096074449,0.006675635513313172,0.625792801369846,0.011553680303842016
MHc-100_MA-15,14.988835064825624,0.001071974750046993,0.11207632254526761,0.0019231037497947766,0.10710723006250822,0.003175571520036444
MHc-100_MA-60,59.91680826281099,0.0028326723539138184,0.504685428158815,0.0054292011921443385,0.5399494592289622,0.009177632795856084
MHc-100_MA-95,94.84322675330684,0.00497528781925159,0.8747676077146965,0.0102201827780458,1.0013397595760154,0.017870749598993173
MHc-130_MA-15,14.987868753968243,0.0007891867480166535,0.11289896501763175,0.0014077818436848476,0.10939787397628253,0.0023348521986457462
MHc-130_MA-55,54.93055996139912,0.0025620540879972824,0.45194813029505715,0.005171387939537968,0.4889912298860031,0.009132462194397272
MHc-130_MA-90,89.85422457935881,0.004491106756972465,0.8270548726622352,0.008732168808796176,0.8891199477985047,0.015138091429619655
MHc-130_MA-125,124.77087332760692,0.0072796725309877885,1.2315613561158547,0.015123529309323293,1.3909517248614696,0.026879206416264463
MHc-160_MA-15,14.985509548061273,0.0008084903056821832,0.1161289873285189,0.0014841793799503522,0.11632142959543201,0.002464608969149019
MHc-160_MA-85,84.86758358982553,0.004240886459356246,0.7544615231899074,0.008608554962611674,0.8348426222698432,0.015256558034889647
MHc-160_MA-120,119.76892553135832,0.006947515724162551,1.1997405879150818,0.013994843694165489,1.2843393619275147,0.02470407256509542
MHc-160_MA-155,154.67424428403598,0.010933446832191624,1.6966472111462738,0.0238541714411863,1.8729897369158177,0.04367336800793132
