syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(33.65453434039474, 0.1913510914796569)","(60.34178229709903, 5.555910093838899)","(0.7822203262837524, 0.3622974397888762)","(23.64550135129262, 0.7687881571694111)","(26.497691500795465, 0.3006334167498016)","(10.350839682490319, 0.27957600141448014)"
L1PrefireUp,"(33.31511210175059, 0.1895298144041778)",-,-,"(23.41169738101869, 0.7619055422983573)","(26.173372547693173, 0.2971528754562646)","(10.182700567011265, 0.2762562746701226)"
L1PrefireDown,"(33.98767578293082, 0.19315752855069734)",-,-,"(23.877448304165288, 0.7756871331872313)","(26.818644378419187, 0.30413791961985476)","(10.518320500922613, 0.2829674216164738)"
PileupReweightUp,"(33.375289884300756, 0.20640268034991974)",-,-,"(23.65983715728037, 0.8578612422155782)","(26.339305144668693, 0.3254164002028783)","(10.230592050673952, 0.28059180919278515)"
PileupReweightDown,"(33.9256900095966, 0.18426879691626707)",-,-,"(23.510579703036996, 0.71842225441052)","(26.640726239669018, 0.28863442537835093)","(10.45160285758702, 0.292007065417204)"
MuonIDSFUp,"(34.20775261936226, 0.1944402860894438)",-,-,"(24.063182873069202, 0.7822694928739709)","(26.947463691026254, 0.30570839558234897)","(10.536098148999676, 0.285154765986721)"
MuonIDSFDown,"(33.107253621644674, 0.18832454814594846)",-,-,"(23.232476594762403, 0.7555898753521374)","(26.052953487931187, 0.2956599858591458)","(10.167778196895602, 0.2740823399137246)"
DblMuTrigSFUp,"(33.65933147339282, 0.19137768484557097)",-,-,"(23.64932751001613, 0.7689121545968263)","(26.502377182483244, 0.30068622225947406)","(10.352404825798198, 0.27961619658363845)"
DblMuTrigSFDown,"(33.649669548171964, 0.19132413165273635)",-,-,"(23.641614348809576, 0.7686622410438322)","(26.492930700841494, 0.3005797736012708)","(10.349251026189533, 0.2795352690902289)"
JetResUp,"(33.68503523466718, 0.19138876402751756)",-,-,"(24.182189347968666, 0.7746267520132452)","(26.50536414600297, 0.30062918916432624)","(10.365558602116497, 0.2796093653675598)"
JetResDown,"(33.62846128349274, 0.19129544874936935)",-,-,"(23.354800441347606, 0.7650963311477049)","(26.4897691878442, 0.30051086341693467)","(10.332397929190108, 0.2792503153685362)"
JetEnUp,"(33.95565290122621, 0.1921874957947872)",-,-,"(24.847483112622726, 0.7881658015066496)","(26.545348589407816, 0.30103672698360967)","(10.507484175540739, 0.28086814610728356)"
JetEnDown,"(33.347535125107335, 0.19050409928859108)",-,-,"(22.454722592271285, 0.7496238790192655)","(26.416573828745097, 0.3001000281208575)","(10.212946088387115, 0.2781698790273953)"
MuonEnUp,"(33.671399094581524, 0.19140898423814806)",-,-,"(23.722149365691763, 0.7707199601230122)","(26.664841489087767, 0.3017536439298253)","(10.41703497075378, 0.2801187023257981)"
MuonEnDown,"(33.63793172647417, 0.19130671814293748)",-,-,"(23.457175145502287, 0.765403380786757)","(26.280933572016142, 0.29944686629301176)","(10.306526165645, 0.2790092020740686)"
ElectronEnUp,"(33.653921841073625, 0.19135011119682596)",-,-,"(23.635000904918087, 0.7687164439699953)","(26.497691500795465, 0.3006334167498016)","(10.350839682490319, 0.27957600141448014)"
ElectronEnDown,"(33.655162930253475, 0.1913521239382164)",-,-,"(23.64550135129262, 0.7687881571694111)","(26.49684501496537, 0.30063460846170126)","(10.350839682490319, 0.27957600141448014)"
ElectronResUp,"(33.65453434039474, 0.1913510914796569)",-,-,"(23.64550135129262, 0.7687881571694111)","(26.497691500795465, 0.3006334167498016)","(10.350839682490319, 0.27957600141448014)"
ElectronResDown,"(33.65453434039474, 0.1913510914796569)",-,-,"(23.64550135129262, 0.7687881571694111)","(26.497691500795465, 0.3006334167498016)","(10.350839682490319, 0.27957600141448014)"
NonpromptUp,-,"(119.75594633186432, 10.194443958630709)",-,-,-,-
NonpromptDown,-,"(39.825445318087105, 4.774876086345596)",-,-,-,-
ConversionUp,-,-,"(1.0704273161975864, 0.49578496378497733)",-,-,-
ConversionDown,-,-,"(0.4940133363699186, 0.22880991579277501)",-,-,-
