,Central,Stat
ptCorr_10to15_abseta_0p0to0p9,0.38538229824604314,0.002172698676885595
ptCorr_10to15_abseta_0p9to1p6,0.40319567908048476,0.0026522706973630783
ptCorr_10to15_abseta_1p6to2p4,0.4206044981375695,0.0028946948722655664
ptCorr_15to20_abseta_0p0to0p9,0.20563449418541901,0.0016509736324640506
ptCorr_15to20_abseta_0p9to1p6,0.2231259038913812,0.0020298283398548335
ptCorr_15to20_abseta_1p6to2p4,0.2526675208796852,0.0024765058654437964
ptCorr_20to30_abseta_0p0to0p9,0.14132082875214014,0.0012608641985973697
ptCorr_20to30_abseta_0p9to1p6,0.1638758944090338,0.0016292056977748384
ptCorr_20to30_abseta_1p6to2p4,0.19674709703081789,0.0020430586673752084
ptCorr_30to50_abseta_0p0to0p9,0.0840441516519796,0.00114786604871854
ptCorr_30to50_abseta_0p9to1p6,0.1039520330603499,0.0014374360794081945
ptCorr_30to50_abseta_1p6to2p4,0.1379272587211838,0.0020145712752171435
ptCorr_50to100_abseta_0p0to0p9,0.06200379638701971,0.0011321495517626775
ptCorr_50to100_abseta_0p9to1p6,0.07566188854651805,0.0015569652338452617
ptCorr_50to100_abseta_1p6to2p4,0.10468204347129605,0.002248099686792658
