,Central,Stat,PileupReweight,L1PrefireUp,L1PrefireDown,MuonRecoSFUp,MuonRecoSFDown,JetResUp,JetResDown,JetEnUp,JetEnDown,ElectronResUp,ElectronResDown,ElectronEnUp,ElectronEnDown,MuonEnUp,MuonEnDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,64140.57940393418,879.3269221479861,64477.0181429741,64104.9693887469,64150.536350441296,64165.46312531308,64115.69568255526,65086.05661291153,63226.00656488172,69881.09871325131,58588.58809336925,64140.57940393418,64140.57940393418,64140.57940393418,64140.57940393418,64008.23598447237,64117.65466424312,29222.2103954313,167407.93601800431,5002.1014437790445
ptCorr_10to15_abseta_0p9to1p6,46928.32855514036,743.5648251974329,47432.38112412732,46901.07756544755,46946.17272055427,46961.30715948553,46895.34995079517,47782.54080378587,45779.84901312876,51394.09979353133,42874.39422228794,46928.32855514036,46928.32855514036,46928.32855514036,46928.32855514036,46874.64564346571,46940.685692755535,22573.099612076272,123969.44944336945,3093.9708381621554
ptCorr_10to15_abseta_1p6to2p4,47902.80987381701,753.7296437749117,48327.28328246187,47862.42866765654,47936.18171573317,47957.860027370574,47847.75972026345,48944.319572582885,47170.814691741296,52243.33720756136,44036.76707405646,47902.80987381701,47902.80987381701,47902.80987381701,47902.80987381701,47831.19798411921,47969.82290821417,23605.62707764152,122687.93457714109,2739.5145065603915
ptCorr_15to20_abseta_0p0to0p9,40214.621901940096,678.3227855986695,40932.54160761799,40190.205447799424,40232.5742692688,40230.22340501452,40199.02039886566,40906.74432527418,39553.460548617426,44199.15946590789,37042.109985552386,40214.621901940096,40214.621901940096,40214.621901940096,40214.621901940096,40250.79315574965,40193.27905812322,18983.013591951774,108003.26687479693,2710.062993520541
ptCorr_15to20_abseta_0p9to1p6,28971.236885641087,594.7925146779105,29162.520887706392,28952.127855221297,28986.459047838354,28991.61396185171,28950.859809430465,29364.964040106097,28258.839632185696,31986.858560074426,26450.072914201763,28971.236885641087,28971.236885641087,28971.236885641087,28971.236885641087,28989.302497870412,29012.303876854083,13311.853803583737,78425.63460788876,1944.3215839292307
ptCorr_15to20_abseta_1p6to2p4,31103.782856074562,610.2173170068276,31310.05350291709,31072.852357532716,31131.768756869307,31139.421088914456,31068.14462323467,31756.045958190814,30728.697371483453,34185.532557422186,28677.29576075072,31103.782856074562,31103.782856074562,31103.782856074562,31103.782856074562,31099.636531325224,31094.26003675993,15858.345330420761,77660.01214869994,1859.5795371765769
ptCorr_20to30_abseta_0p0to0p9,51857.265945612846,792.564231648005,52056.56776270155,51810.39417255876,51896.192375021084,51877.38428207402,51837.14760915168,52926.130210227886,51035.64597729327,57044.42741945387,47245.24529607743,51857.265945612846,51857.265945612846,51857.265945612846,51857.265945612846,51869.436535426205,51888.8275463889,23553.958576878314,135535.92081075234,3200.6608439433016
ptCorr_20to30_abseta_0p9to1p6,37394.27765151669,656.6311672113835,38059.784289541065,37365.64053347351,37417.794778943986,37420.420069924214,37368.135233109155,38083.23942984061,36754.74803159804,41248.82072304257,34014.89779833054,37394.27765151669,37394.27765151669,37394.27765151669,37394.27765151669,37397.586005394056,37403.91495933031,16705.817046927816,94083.56901953787,2289.4257125644335
ptCorr_20to30_abseta_1p6to2p4,36628.76024780189,654.6744111856798,37052.289505080684,36587.51085183678,36666.34365978126,36671.36132704749,36586.159168556296,37337.61559867581,35704.45373181884,40305.64154087318,33178.89097264981,36628.76024780189,36628.76024780189,36628.76024780189,36628.76024780189,36672.94587171594,36660.22803299988,17766.18349956353,87413.60681722053,2065.811879755367
ptCorr_30to50_abseta_0p0to0p9,49811.388951017405,765.0038600128569,50547.93629319097,49763.91779933068,49851.51618960829,49830.71357726296,49792.06432477186,50230.67750412632,49575.14523215037,52974.21265510606,46864.9924869453,49811.388951017405,49811.388951017405,49811.388951017405,49811.388951017405,49779.68028321077,49821.36092185565,24905.909594676697,87939.20696175267,2702.5997845819234
ptCorr_30to50_abseta_0p9to1p6,36476.14687276598,640.1912169760269,37089.149061472825,36447.53649544504,36499.5554715868,36501.67177771247,36450.62196781949,36823.623932025585,36128.76030473538,39024.07655181142,34055.51836582696,36476.14687276598,36476.14687276598,36476.14687276598,36476.14687276598,36430.21489104809,36434.34140857254,18092.365587128592,63856.951472109846,2039.8047154848375
ptCorr_30to50_abseta_1p6to2p4,33765.799453721884,623.967166702602,34381.128072878244,33726.81809872942,33801.421085504204,33804.18933597555,33727.409571468226,34135.73717213037,33528.785159504536,36179.837590036455,31476.039860975867,33765.799453721884,33765.799453721884,33765.799453721884,33765.799453721884,33756.21935223323,33788.36260453742,18017.872313510597,56447.62208542199,1792.4416797298472
ptCorr_50to100_abseta_0p0to0p9,16918.09552663138,436.23432046459055,18301.206275074044,17949.101533508816,17980.79855690227,17973.252309075124,17959.312055831444,17951.094461826146,17954.225889725785,18289.202426627406,17658.420491241977,17966.282182453295,17966.282182453295,17966.282182453295,17966.282182453295,18008.610100101054,17926.768386748077,14399.573900127694,20411.23135373368,818.932582450048
ptCorr_50to100_abseta_0p9to1p6,11609.466047636019,360.1520876025285,12610.57627591098,12404.825142572672,12422.896150044588,12423.349490539558,12406.091235079582,12435.636466626116,12394.488141644588,12708.885969339774,12210.033545904356,12414.720362809576,12414.720362809576,12414.720362809576,12414.720362809576,12447.138318271833,12414.83777406882,10381.686989589043,14115.044065886703,533.9543859832173
ptCorr_50to100_abseta_1p6to2p4,11526.814297559415,369.2807176672892,12514.546841814643,12354.133132786295,12382.370019455768,12383.201913091225,12354.523489779109,12379.415022865429,12347.840193373562,12578.649678734382,12157.109043315331,12368.86270143516,12368.86270143516,12368.86270143516,12368.86270143516,12368.292840413296,12304.114973764656,10429.4079408007,13727.705326461813,544.4693184502669
