,Central,Stat,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,0.3796610365461156,0.007937948064404341,0.3795336223173681,0.37978836448376696,0.3707771568910892,0.38992489002030395,0.39104609143719493
ptCorr_10to15_abseta_0p9to1p6,0.40629081830162334,0.010019971542613342,0.40616866560049236,0.4064128849232452,0.40886361298220186,0.4133244239137147,0.3962490614934971
ptCorr_10to15_abseta_1p6to2p4,0.4187593408356801,0.010501625188123326,0.4186441592866501,0.4188744397972333,0.4134930548853125,0.44067041115096617,0.41291556054132544
ptCorr_15to20_abseta_0p0to0p9,0.1885318179746563,0.006468578744620596,0.18819413930407758,0.18886911876188867,0.1936008214063239,0.19547735689666912,0.20167295013088776
ptCorr_15to20_abseta_0p9to1p6,0.20969393773842118,0.008571998176505165,0.20936236104357506,0.2100251218438032,0.2240848461661792,0.21820129648015316,0.23090299411021592
ptCorr_15to20_abseta_1p6to2p4,0.24431198888073988,0.01084396680314832,0.24398899625907305,0.24463458049217757,0.23490855814387135,0.2522495480300082,0.25961265032561553
ptCorr_20to30_abseta_0p0to0p9,0.11984882126034141,0.005435809754350465,0.1188727975872624,0.1208222305066509,0.11079831759812933,0.13118583700816436,0.12672500781874763
ptCorr_20to30_abseta_0p9to1p6,0.15099109118940188,0.008301194808277032,0.14996430380451126,0.15201479313107433,0.13263172498041786,0.16065233647182894,0.15717099024652018
ptCorr_20to30_abseta_1p6to2p4,0.18184735522411186,0.010627747071879558,0.18082920711243644,0.18286230236149997,0.171799788177702,0.19728471209332835,0.20590275757967771
ptCorr_30to50_abseta_0p0to0p9,0.08609141134514621,0.004232893234895626,0.08154734720565697,0.09058498068798225,0.0787537005828042,0.09109965357175218,0.07373083903736338
ptCorr_30to50_abseta_0p9to1p6,0.11471708697172163,0.006054097510696612,0.1097513545684643,0.1196195898890929,0.11179272001720175,0.11744783331747946,0.09772001284657329
ptCorr_30to50_abseta_1p6to2p4,0.15051155786403322,0.008250044512544913,0.14509277411828234,0.1558511025979835,0.14234007448807703,0.16186664285402558,0.13652275203735084
ptCorr_50to100_abseta_0p0to0p9,0.0756589813774025,0.01512317958913013,0.051962184682739665,0.09811011548456817,0.07893490502033208,0.08665863509330794,0.042217112971803354
ptCorr_50to100_abseta_0p9to1p6,0.11497229866354652,0.021696778029178385,0.08855902194080126,0.13975830067028558,0.10785189358628046,0.12363467061558868,0.033399635305489006
ptCorr_50to100_abseta_1p6to2p4,0.14134772571622348,0.028695506590737666,0.10878053461997818,0.17137415924373056,0.1462891898661076,0.16269056896106135,0.04896712413215156
