syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(103.93210158293266, 0.3926531256016759)","(18.03035631280928, 2.7585131507371075)","(0.36947888773096016, 0.26370914958311714)","(6.441342827216887, 0.8477689547215238)","(9.559107483773913, 0.17134981831351045)","(2.924750215656621, 0.1611124369355229)"
L1PrefireUp,"(103.69947675459439, 0.39177302327395386)",-,-,"(6.426301613685924, 0.8458293243542147)","(9.536809121460225, 0.17094935388161414)","(2.9182023573192573, 0.16080732534821526)"
L1PrefireDown,"(104.15811969866088, 0.39350901985255893)",-,-,"(6.45624290625482, 0.8496896450202583)","(9.580862741488728, 0.1717404058752564)","(2.9311333136857027, 0.1613830469487661)"
PileupReweightUp,"(103.37131744734133, 0.40264390912765097)",-,-,"(6.715885502938194, 0.9248980566355934)","(9.490843091197744, 0.17554882343059944)","(2.928864228579099, 0.15716572911349475)"
PileupReweightDown,"(104.43399067783646, 0.396676041149494)",-,-,"(6.224476701063476, 0.8162288513615229)","(9.63674444514993, 0.17333243325489353)","(2.9337358269697966, 0.16793494267661882)"
MuonIDSFUp,"(105.71275044104733, 0.3991768727110433)",-,-,"(6.528873539927759, 0.859665606742087)","(9.692275020472398, 0.17369990257302803)","(2.9685266396170955, 0.16538614206932373)"
MuonIDSFDown,"(102.16850584041197, 0.3862564200734343)",-,-,"(6.354581483785453, 0.8360973385232869)","(9.427203632635583, 0.1690459236424308)","(2.8814620412635414, 0.15694252351798568)"
DblMuTrigSFUp,"(103.94474563024241, 0.39270032919117204)",-,-,"(6.442092739095575, 0.8478699460624655)","(9.560310720802892, 0.17137182291031455)","(2.9251333436930915, 0.16116162188451558)"
DblMuTrigSFDown,"(103.91934144441534, 0.3926054968493039)",-,-,"(6.4405860092139555, 0.847667028643774)","(9.557893176717325, 0.17132761022339701)","(2.924362388999552, 0.16106188881730404)"
JetResUp,"(104.16422595011821, 0.39309160191506326)",-,-,"(6.996389984174397, 0.8456241611642193)","(9.563011585068272, 0.17133393509697079)","(2.9407943120355715, 0.16113636908061965)"
JetResDown,"(103.73260283996795, 0.39217773008488965)",-,-,"(6.481421558211935, 0.8427279394592632)","(9.558950870352582, 0.17134977783252114)","(2.942509001682483, 0.16107472026653874)"
JetEnUp,"(106.3448844966133, 0.3976297703475517)",-,-,"(7.39490192303728, 0.8813170577111145)","(9.633140376960549, 0.1719875610314701)","(2.963510966694466, 0.16181379556192535)"
JetEnDown,"(101.56286841848338, 0.38776400887477785)",-,-,"(5.884220786432493, 0.811108677742608)","(9.495747183620763, 0.17079255026939957)","(2.838443302462529, 0.16040402678164878)"
MuonEnUp,"(104.0111978431002, 0.39280116869970955)",-,-,"(6.54968794258748, 0.8512834975564599)","(9.598747862201018, 0.1713586416619321)","(2.927321875315296, 0.1611609242226185)"
MuonEnDown,"(103.82591683118576, 0.39247270403406054)",-,-,"(6.555764116688269, 0.8514596556645793)","(9.542919994065716, 0.1712617695721329)","(2.90793352606108, 0.16109218497205072)"
ElectronEnUp,"(103.92852995349995, 0.39264499349713)",-,-,"(6.441342827216887, 0.8477689547215238)","(9.559107483773913, 0.17134981831351045)","(2.924750215656621, 0.1611124369355229)"
ElectronEnDown,"(103.9347190194955, 0.39265748927098126)",-,-,"(6.441342827216887, 0.8477689547215238)","(9.559107483773913, 0.17134981831351045)","(2.924750215656621, 0.1611124369355229)"
ElectronResUp,"(103.93210158293266, 0.3926531256016759)",-,-,"(6.441342827216887, 0.8477689547215238)","(9.559107483773913, 0.17134981831351045)","(2.924750215656621, 0.1611124369355229)"
ElectronResDown,"(103.93210158293266, 0.3926531256016759)",-,-,"(6.441342827216887, 0.8477689547215238)","(9.559107483773913, 0.17134981831351045)","(2.924750215656621, 0.1611124369355229)"
NonpromptUp,-,"(36.56664033961317, 5.038034988422501)",-,-,-,-
NonpromptDown,-,"(9.601724503735609, 2.6281990170634253)",-,-,-,-
ConversionUp,-,-,"(0.524652487878927, 0.3744616160747015)",-,-,-
ConversionDown,-,-,"(0.21430528758299316, 0.15295668309153276)",-,-,-
