syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(23.7490576988873, 0.08839339438578389)","(6.86919152188783, 1.8058695978722512)","(0.2023304663016565, 0.14306924476253755)","(1.2436111943264265, 0.19012602144645419)","(0.8033876913132647, 0.047658681528163827)","(0.694899075558447, 0.21948505935441004)"
L1PrefireUp,"(23.613072009114287, 0.08796351062447758)",-,-,"(1.2402426538426363, 0.18970494062292356)","(0.7975543143920663, 0.04741462934497732)","(0.6878441660197926, 0.21733338637723287)"
L1PrefireDown,"(23.88122563366157, 0.08882320186393451)",-,-,"(1.2467114229251313, 0.1905118314147912)","(0.809187033186911, 0.04790949903122539)","(0.7018223079666841, 0.22161690616896232)"
PileupReweightUp,"(23.50522002218134, 0.09069464611139806)",-,-,"(1.2537981933394289, 0.19354892996364365)","(0.7987929011016597, 0.04900202502865976)","(0.6527063851854946, 0.19674907157583524)"
PileupReweightDown,"(23.98494513695914, 0.0897214840111015)",-,-,"(1.1921291163621361, 0.18298652123497838)","(0.8091773609849479, 0.0482238064376119)","(0.7198130236246597, 0.23258371244848344)"
MuonIDSFUp,"(24.04545879652345, 0.08949825174874435)",-,-,"(1.259263471101297, 0.19228636843560207)","(0.8135400412785786, 0.04823521012567691)","(0.7037891252000648, 0.22252660478354194)"
MuonIDSFDown,"(23.455302632789287, 0.0873012982627505)",-,-,"(1.2281045317662929, 0.18799224798936942)","(0.7933315749697895, 0.04709014281123312)","(0.6860838286311535, 0.21647071259013334)"
DblMuTrigSFUp,"(23.772146622612425, 0.08847907522184503)",-,-,"(1.244812396383993, 0.1903052172641495)","(0.8041932967560985, 0.04770715488648451)","(0.6957207910582609, 0.21978717811126672)"
DblMuTrigSFDown,"(23.725694009633685, 0.08830672777814014)",-,-,"(1.2423999728292858, 0.18994564084384047)","(0.8025737116078262, 0.047609699839799555)","(0.6940677757713056, 0.219178363375034)"
JetResUp,"(23.74047079156501, 0.08837295483920432)",-,-,"(1.360680014994733, 0.20292007630290992)","(0.7982985642944019, 0.04780939596131503)","(0.7010451569577568, 0.21942345080856868)"
JetResDown,"(23.739571791543113, 0.08837526423653079)",-,-,"(1.3272821776483155, 0.20382759726247074)","(0.8069645671575065, 0.04772161460613752)","(0.6887354990970445, 0.2195748880801929)"
JetEnUp,"(23.859443809137165, 0.08862756331234102)",-,-,"(1.1080226744542827, 0.19988661061448149)","(0.808695003505205, 0.04780494193811627)","(0.6933773225308637, 0.21969872137453067)"
JetEnDown,"(23.63096355641306, 0.08814909667707521)",-,-,"(1.1696129882711945, 0.17471107478814255)","(0.7966362196455667, 0.04756362105340249)","(0.6820465035606149, 0.22024286751413447)"
MuonEnUp,"(23.748917080867038, 0.08839378362268088)",-,-,"(1.1372415935342401, 0.19463360930104706)","(0.8000013309576717, 0.047652030832439594)","(0.6952412602252204, 0.2194739407473504)"
MuonEnDown,"(23.71779314757663, 0.08833181514636292)",-,-,"(1.1961132272275932, 0.18996089287689946)","(0.81414933731334, 0.047744312740348765)","(0.6999505983238021, 0.21951084376253496)"
NonpromptUp,-,"(8.40573275152424, 2.1952289597606174)",-,-,-,-
NonpromptDown,-,"(5.502638458635195, 1.4812104109951103)",-,-,-,-
ConversionUp,-,-,"(0.22122024012649996, 0.1564263319291645)",-,-,-
ConversionDown,-,-,"(0.18344069247681305, 0.1297121575959106)",-,-,-
