,Central,Stat,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,0.5908621305045373,0.024451346350342688,0.5906440410394315,0.5910799201332168,0.591154529750263,0.5947243843869189,0.5815627874920797
ptCorr_10to15_abseta_0p8to1p579,0.622708995518888,0.03624967380212,0.6224714039529022,0.6229461770972444,0.6141493551283527,0.6099070045483643,0.6219086635152608
ptCorr_10to15_abseta_1p579to2p5,0.689610990683733,0.039047786193031585,0.6894376538057337,0.6897840678205168,0.689354844576296,0.7038622382512298,0.7632100788490666
ptCorr_15to20_abseta_0p0to0p8,0.3563549943349417,0.021889641124294444,0.35567820801120453,0.3570300269538044,0.34692793859464394,0.35634873347432505,0.4297841342096356
ptCorr_15to20_abseta_0p8to1p579,0.4013090109130665,0.02677537913375405,0.40077079405368027,0.40184601514661195,0.4104503029346973,0.39058709146361265,0.4803907965219202
ptCorr_15to20_abseta_1p579to2p5,0.47108231950326385,0.026579761508505124,0.4707448186372757,0.47141927165402786,0.48976618576664,0.46467698289287407,0.5109630601654004
ptCorr_20to25_abseta_0p0to0p8,0.24793229746247525,0.009253945670004834,0.24637180545478393,0.24948486967469563,0.2558971703260792,0.2547382054606451,0.30496039873890685
ptCorr_20to25_abseta_0p8to1p579,0.2877130717370312,0.010838822818064735,0.2865787320800805,0.2888429341707857,0.2721266420387977,0.290906537973294,0.3891157413859544
ptCorr_20to25_abseta_1p579to2p5,0.34082933987762853,0.009682022104896595,0.340144223427394,0.34151267501742305,0.34899272026604705,0.34648186722245194,0.39670856949893607
ptCorr_25to35_abseta_0p0to0p8,0.19165686148126898,0.00823197572692472,0.18720471075122283,0.19605230756766973,0.19390000651179715,0.19371589444643672,0.2622206710707014
ptCorr_25to35_abseta_0p8to1p579,0.21213489802993404,0.008070146197468289,0.20970827477599951,0.2145437441826369,0.2159584163317937,0.21582164135194096,0.28047390333439215
ptCorr_25to35_abseta_1p579to2p5,0.2545299959015436,0.006393280440884708,0.2533727302001402,0.255683079364593,0.24247816937905223,0.2614558026608636,0.3027275410711634
ptCorr_35to50_abseta_0p0to0p8,0.1533596900212693,0.009078190529203245,0.1420805766594819,0.1643116389154826,0.14721619750092038,0.15380566348723315,0.1784962519142246
ptCorr_35to50_abseta_0p8to1p579,0.1925957665140472,0.009102234606049543,0.18469238148928505,0.20032656603970078,0.1733909243253363,0.1925300691000472,0.2761552335738427
ptCorr_35to50_abseta_1p579to2p5,0.19571237321497229,0.005603305996926341,0.19226834038803048,0.19912416502331481,0.17650205848974518,0.20226170469720856,0.2825234788608193
ptCorr_50to100_abseta_0p0to0p8,0.18840228498622313,0.015334358735390555,0.17190003331336426,0.2041920532095425,0.19075094700141715,0.19279767397832873,0.3228916359243661
ptCorr_50to100_abseta_0p8to1p579,0.21284456418907374,0.014407977382637103,0.2017053252139083,0.22364332579166624,0.21377457241558737,0.21832427705254345,0.27336894344581925
ptCorr_50to100_abseta_1p579to2p5,0.21144447177349743,0.007522278319508863,0.20750006353161007,0.21534671841652256,0.20586692237521925,0.21543533867637962,0.21411075704792393
