syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(33.73901577470746, 0.19295721114776046)","(31.39986627476131, 3.708232800670096)","(0.6478190064184997, 0.3795828197868421)","(12.22931639432162, 0.5505010522123785)","(14.953517531355144, 0.22503587443761802)","(5.537028979208909, 0.18163591520975084)"
L1PrefireUp,"(33.39782489628449, 0.1911167471937396)",-,-,"(12.109148085436795, 0.5456693661631625)","(14.76739031644985, 0.2224388778366476)","(5.451696690470684, 0.1793874864958351)"
L1PrefireDown,"(34.0744233417075, 0.1947880743380791)",-,-,"(12.348086792962308, 0.5553243819893225)","(15.137683313020913, 0.2276465081953677)","(5.622032378911915, 0.18395571721512838)"
PileupReweightUp,"(33.43418472659655, 0.20711412720139882)",-,-,"(12.303067618543507, 0.6366641273062263)","(14.885897341851978, 0.24366585222893317)","(5.466553099128921, 0.1886567606690883)"
PileupReweightDown,"(34.00331567315655, 0.18586431128274025)",-,-,"(12.127265612474474, 0.5080489011196272)","(15.04585867591379, 0.2160769898306446)","(5.59444344256874, 0.1804296312465655)"
MuonIDSFUp,"(34.36882745588072, 0.19651873791896554)",-,-,"(12.475019889648213, 0.5604383156061085)","(15.21949248788215, 0.22898478653758841)","(5.638146682198371, 0.18506689609187027)"
MuonIDSFDown,"(33.11640803641447, 0.1894703102768979)",-,-,"(11.986729499134617, 0.5407708546523284)","(14.690587688718946, 0.22116564301824945)","(5.437095275150915, 0.17826089400489795)"
DblMuTrigSFUp,"(33.74351853758302, 0.19298255860157254)",-,-,"(12.231471794858328, 0.5505906487858484)","(14.956114694326002, 0.2250752104125372)","(5.537851064137942, 0.1816604385875597)"
DblMuTrigSFDown,"(33.73445407006555, 0.1929315373052068)",-,-,"(12.227123260671855, 0.5504099899307835)","(14.950878585503485, 0.22499591099523988)","(5.536194756239485, 0.18161107405063012)"
JetResUp,"(33.7443078420321, 0.1929448267792353)",-,-,"(12.758074784079811, 0.5548802681886993)","(14.962016985748928, 0.225100666605011)","(5.581510898866004, 0.18189524303065285)"
JetResDown,"(33.750087381849525, 0.19298723383088387)",-,-,"(12.298015209841667, 0.5461313814125458)","(14.974915576199912, 0.22503506104191842)","(5.544607241945252, 0.18146512648402527)"
JetEnUp,"(34.07183382448169, 0.19385980774477918)",-,-,"(12.98031954186784, 0.5644855174547132)","(15.003681506974239, 0.22541359997562654)","(5.620736637662111, 0.1826914678767086)"
JetEnDown,"(33.40578160192742, 0.19199810628322028)",-,-,"(11.572484593376341, 0.5367498556867157)","(14.916295681720165, 0.2246772486422714)","(5.4440533219225316, 0.1805220071098701)"
MuonEnUp,"(33.7478815429708, 0.1930063141833216)",-,-,"(11.880770825772657, 0.5432313446089967)","(14.656629356894815, 0.22308840992791418)","(5.469920979992642, 0.18007779217728156)"
MuonEnDown,"(33.72441071318896, 0.19288800178210214)",-,-,"(12.612593310566657, 0.5578155462612493)","(15.301278018956445, 0.22729721910470718)","(5.64806099147588, 0.1830616118785595)"
ElectronEnUp,"(33.73835904639031, 0.19295609355974963)",-,-,"(12.22931639432162, 0.5505010522123785)","(14.953517531355144, 0.22503587443761802)","(5.537028979208909, 0.18163591520975084)"
ElectronEnDown,"(33.740373168887686, 0.19295960633783496)",-,-,"(12.22931639432162, 0.5505010522123785)","(14.953517531355144, 0.22503587443761802)","(5.537028979208909, 0.18163591520975084)"
ElectronResUp,"(33.73901577470746, 0.19295721114776046)",-,-,"(12.22931639432162, 0.5505010522123785)","(14.953517531355144, 0.22503587443761802)","(5.537028979208909, 0.18163591520975084)"
ElectronResDown,"(33.73901577470746, 0.19295721114776046)",-,-,"(12.22931639432162, 0.5505010522123785)","(14.953517531355144, 0.22503587443761802)","(5.537028979208909, 0.18163591520975084)"
NonpromptUp,-,"(63.502660799225794, 7.061476518758215)",-,-,-,-
NonpromptDown,-,"(17.756701084671633, 3.2124242130353955)",-,-,-,-
ConversionUp,-,-,"(0.8865061890130341, 0.5194390958740559)",-,-,-
ConversionDown,-,-,"(0.4091318238239651, 0.23972654369962815)",-,-,-
