syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(8.117329201995995, 0.03062011737316652)","(24.70280771584863, 3.310514794708668)","(-1.1815016426198968, 1.6355576142379074)","(4.976080236568077, 0.46986675900347835)","(4.132028907046416, 0.10981358059971912)","(1.4837081035314308, 0.13462268000979813)"
L1PrefireUp,"(8.073930906561749, 0.030480313643562133)",-,-,"(4.9562513751115045, 0.4681278908923071)","(4.100306319370297, 0.10916775954712227)","(1.4582935741076997, 0.12839497277052137)"
L1PrefireDown,"(8.159771562308084, 0.030760343741446466)",-,-,"(4.995291763965035, 0.4715807719704061)","(4.163546283603641, 0.11047643878666823)","(1.50906577148913, 0.14114981811409913)"
PileupReweightUp,"(8.051260033770571, 0.031481267748360624)",-,-,"(5.0178112245216635, 0.4928106690669922)","(4.103986094065704, 0.1130503402151306)","(1.4820754384452188, 0.1381079624453758)"
PileupReweightDown,"(8.175686195813931, 0.031008233926767898)",-,-,"(4.8811715607708495, 0.4651182465521038)","(4.160039781878868, 0.11116979608787074)","(1.4826986643268807, 0.13358104464608234)"
MuonIDSFUp,"(8.350304098445639, 0.031502571694962005)",-,-,"(5.104738587174359, 0.48036036159998097)","(4.227426886238823, 0.11234799057907371)","(1.52350903087536, 0.14054541858735795)"
MuonIDSFDown,"(7.888153070810999, 0.02975993755050415)",-,-,"(4.8495728874632045, 0.45962146153133887)","(4.037783711933111, 0.10733307103496972)","(1.444528041699388, 0.12895040848202005)"
DblMuTrigSFUp,"(8.118651750598984, 0.030625089574032822)",-,-,"(4.976927208397136, 0.46994389205436266)","(4.132742393229786, 0.10983255169411854)","(1.4839597344576332, 0.1346490530719834)"
DblMuTrigSFDown,"(8.115994910407343, 0.030615101592988164)",-,-,"(4.975225334825608, 0.46978891972581677)","(4.1313085792687385, 0.10979443150464656)","(1.4834541499279708, 0.1345960929794642)"
JetResUp,"(8.12606211533401, 0.030638219785085536)",-,-,"(4.769471952067335, 0.46990304769776986)","(4.146100540894237, 0.1100246784722535)","(1.4939418986263988, 0.13457261162163153)"
JetResDown,"(8.118461116528168, 0.03062200114652269)",-,-,"(4.709181598558371, 0.45706350576160487)","(4.133827750505333, 0.10983709440607892)","(1.47655783563614, 0.13455065503407992)"
JetEnUp,"(8.172063094307054, 0.030729367601298373)",-,-,"(5.097633910907583, 0.48333589097054447)","(4.16609373533785, 0.1101273345836544)","(1.5113554646240075, 0.1348952705096994)"
JetEnDown,"(8.065918143693722, 0.0305151168224294)",-,-,"(4.516365952976675, 0.4558113281387503)","(4.1055693751396936, 0.10943096514917036)","(1.4644888039624704, 0.13441395018474495)"
MuonEnUp,"(8.124099855230376, 0.03062819919604624)",-,-,"(4.855091200438541, 0.4655573878254402)","(4.143685345053581, 0.10959005665005572)","(1.478362225151245, 0.13456217856928895)"
MuonEnDown,"(8.108758066868923, 0.03060346782140943)",-,-,"(5.029622917305872, 0.4698359391975702)","(4.135126893772664, 0.1099146530183992)","(1.5077197053242855, 0.13466467536992832)"
NonpromptUp,-,"(52.90407793098332, 6.300853271194651)",-,-,-,-
NonpromptDown,-,"(12.527496013084225, 2.6825986890333224)",-,-,-,-
ConversionUp,-,-,"(-3.3365326141964764, 3.9382606032285468)",-,-,-
ConversionDown,-,-,"(0.2605371118883803, 0.2179102566518632)",-,-,-
