syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(114.63151817364981, 0.4206214642385895)","(53.05752068014739, 4.836182213774501)","(2.6668662556642677, 4.015325909968528)","(9.231589295647392, 0.8266524375899069)","(10.522959568564811, 0.17681004245354515)","(3.4803935124167964, 0.19578978424106994)"
L1PrefireUp,"(114.38256313518204, 0.41970828050258696)",-,-,"(9.211738442567695, 0.8248920609754377)","(10.49935571494193, 0.1764129424030814)","(3.472630532169375, 0.1953840491399007)"
L1PrefireDown,"(114.87005216557861, 0.42149713864606847)",-,-,"(9.250829419344097, 0.828385609192596)","(10.54574473962903, 0.17719316680314293)","(3.4879707016013137, 0.19612862567795442)"
PileupReweightUp,"(113.88236458238732, 0.43082649260443745)",-,-,"(9.802250702553916, 0.8750770346502746)","(10.40200072434415, 0.18112566977528033)","(3.4818666484281553, 0.18279157890908748)"
PileupReweightDown,"(115.3362634804817, 0.4253871154383963)",-,-,"(8.727157636085536, 0.8180434494829254)","(10.635151651737624, 0.17886127161683504)","(3.472881394026956, 0.21638787925557115)"
MuonIDSFUp,"(117.75473908282612, 0.43206325161590065)",-,-,"(9.470674361836695, 0.8460578953050646)","(10.756050411672843, 0.1807389328134593)","(3.5613085874051893, 0.20162867228833867)"
MuonIDSFDown,"(111.55680039179447, 0.4094574799647399)",-,-,"(8.996134665891589, 0.807656235121614)","(10.292654715296338, 0.17296382524420456)","(3.400525406113747, 0.19004998092557351)"
DblMuTrigSFUp,"(114.64602931514146, 0.42067443351399164)",-,-,"(9.23275395417641, 0.8267501674290949)","(10.524315861855417, 0.17683287258355398)","(3.480821755630289, 0.19580595002976103)"
DblMuTrigSFDown,"(114.6168749862282, 0.42056802110377994)",-,-,"(9.23041370299086, 0.8265537878846186)","(10.521590788929027, 0.1767870003324854)","(3.479961290958064, 0.19577350216721892)"
JetResUp,"(114.63121958397886, 0.42071039220869333)",-,-,"(9.432404627400304, 0.8307824795968353)","(10.514804816136847, 0.1768177202964952)","(3.5493713192569385, 0.1958545976221091)"
JetResDown,"(114.60713378764527, 0.4206055563361179)",-,-,"(9.420103493285442, 0.8245862799057349)","(10.487103829906241, 0.17686109535570246)","(3.525549067407826, 0.22139700548964572)"
JetEnUp,"(115.73036277496666, 0.4229382237762342)",-,-,"(10.436020225233213, 0.8809275041240641)","(10.581775005768414, 0.17747392069391912)","(3.5478510998468864, 0.19542261829040675)"
JetEnDown,"(113.5750327164027, 0.4183632037949366)",-,-,"(8.419164390075114, 0.7947652031602073)","(10.430812679123017, 0.17597454312885433)","(3.382691445224838, 0.1948091508847228)"
MuonEnUp,"(114.70152475471696, 0.4208068229053094)",-,-,"(9.339372353729503, 0.8236337341570116)","(10.524196407888326, 0.1769131335208689)","(3.4751894825938257, 0.19573102658853134)"
MuonEnDown,"(114.574766300985, 0.4204467818772057)",-,-,"(9.234364829657519, 0.8264599663865657)","(10.524492276222322, 0.1767974975408558)","(3.4897424912318846, 0.19578846202415862)"
ElectronEnUp,"(114.63294665919086, 0.42062832517589005)",-,-,"(9.231589295647392, 0.8266524375899069)","(10.522959568564811, 0.17681004245354515)","(3.4803935124167964, 0.19578978424106994)"
ElectronEnDown,"(114.63553486416804, 0.4206280128638141)",-,-,"(9.231589295647392, 0.8266524375899069)","(10.522959568564811, 0.17681004245354515)","(3.4803935124167964, 0.19578978424106994)"
ElectronResUp,"(114.63021217824031, 0.4206194367289811)",-,-,"(9.231589295647392, 0.8266524375899069)","(10.522959568564811, 0.17681004245354515)","(3.4803935124167964, 0.19578978424106994)"
ElectronResDown,"(114.63151817364981, 0.4206214642385895)",-,-,"(9.231589295647392, 0.8266524375899069)","(10.522959568564811, 0.17681004245354515)","(3.4803935124167964, 0.19578978424106994)"
NonpromptUp,-,"(98.30652272475292, 8.304782191352666)",-,-,-,-
NonpromptDown,-,"(27.20989946216272, 4.572866983353637)",-,-,-,-
ConversionUp,-,-,"(4.810123250291285, 7.3257696286669605)",-,-,-
ConversionDown,-,-,"(0.5236092610372488, 0.7423481755584055)",-,-,-
