syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.163859466325565, 0.018818780934926026)","(3.246970635967087, 1.1619799488110802)","(0.07666890912120608, 0.07666890912120608)","(1.667083100131564, 0.20207846424506198)","(2.675759340649433, 0.09184302859264937)","(0.8118009366679051, 0.13355774515135543)"
L1PrefireUp,"(3.132111544658968, 0.018641104698274666)",-,-,"(1.6482927532534586, 0.20028275484671962)","(2.644927937413838, 0.09081855444298194)","(0.7997713670468074, 0.13189082740941055)"
L1PrefireDown,"(3.194970377985789, 0.018994979208209844)",-,-,"(1.6856525559018682, 0.20387066268776444)","(2.7063486517749027, 0.0928758124268121)","(0.8236582147780324, 0.1351197644569278)"
PileupReweightUp,"(3.1414666011865586, 0.020287586617530225)",-,-,"(1.714777654187175, 0.22651076326879427)","(2.6402643361285896, 0.09901055066932199)","(0.8205339819947292, 0.12252325317505654)"
PileupReweightDown,"(3.183901625332447, 0.018105543375783257)",-,-,"(1.6133980879847165, 0.18677782061241452)","(2.7026092822746324, 0.087908794018985)","(0.8013693039459924, 0.14847620278931228)"
MuonIDSFUp,"(3.2194414084302845, 0.01914112886832862)",-,-,"(1.690984111529368, 0.20468651833675675)","(2.7142652979190403, 0.09315855823586294)","(0.8228795527473796, 0.13472347335877166)"
MuonIDSFDown,"(3.108852243054616, 0.01850262398029749)",-,-,"(1.6433754970036474, 0.19951980523709414)","(2.6376695321920645, 0.09055319821167555)","(0.8008483104978631, 0.1324070572126661)"
DblMuTrigSFUp,"(3.1643431869243557, 0.01882160418304119)",-,-,"(1.6673225199687913, 0.2021064940582223)","(2.6761955341085346, 0.09185779382840764)","(0.8119086218932623, 0.13357526692186852)"
DblMuTrigSFDown,"(3.163368885437076, 0.018815918303033006)",-,-,"(1.6668403487298922, 0.20205003224677545)","(2.6753167082445186, 0.09182804730643805)","(0.8116916554662258, 0.13353999778325254)"
JetResUp,"(3.1715996459720945, 0.01884595036854056)",-,-,"(1.7214819887386903, 0.20547921166038619)","(2.6764503046707397, 0.09177281573405506)","(0.8032222786236606, 0.13359611469112842)"
JetResDown,"(3.156228724438709, 0.018790858146984335)",-,-,"(1.6836707826163815, 0.2019266621017299)","(2.676803745422908, 0.09183224456442633)","(0.807953316549065, 0.13351889403544873)"
JetEnUp,"(3.212003844733754, 0.018967006041010776)",-,-,"(1.7980683694877817, 0.20671599755276424)","(2.6835068126199575, 0.09191481205454659)","(0.8217088845681045, 0.1343384120023835)"
JetEnDown,"(3.1144502059485784, 0.01866331304243296)",-,-,"(1.6375152850165207, 0.19586880888268215)","(2.6667438967496278, 0.09165953888072256)","(0.7983605451582242, 0.13342149568706502)"
MuonEnUp,"(3.1639429699894777, 0.018812631775567325)",-,-,"(1.6984101690933922, 0.2009422101478126)","(2.6569233484068535, 0.09185417671631202)","(0.815785153604302, 0.13348068470562605)"
MuonEnDown,"(3.162171923157169, 0.018817278394442995)",-,-,"(1.671947188453357, 0.20135106321829144)","(2.693777658604008, 0.09174416389742311)","(0.8168544415857133, 0.13358452062557538)"
NonpromptUp,-,"(9.056192469915509, 2.6832065943918213)",-,-,-,-
NonpromptDown,-,"(0.7209922418207719, 0.9121386312723287)",-,-,-,-
ConversionUp,-,-,"(0.1049173639047558, 0.1049173639047558)",-,-,-
ConversionDown,-,-,"(0.04842045433765636, 0.04842045433765636)",-,-,-
