,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,30225809.46450039,178910.29141702803
ptCorr_10to15_abseta_0p8to1p479,19159957.195287086,142592.86084305085
ptCorr_10to15_abseta_1p479to2p5,16804879.780445833,133247.87851520683
ptCorr_15to20_abseta_0p0to0p8,11277658.61012179,109854.00786801115
ptCorr_15to20_abseta_0p8to1p479,8647012.599316169,96213.6691523647
ptCorr_15to20_abseta_1p479to2p5,8877686.457433477,97152.46516434755
ptCorr_20to25_abseta_0p0to0p8,4726353.9632174,71426.15791119887
ptCorr_20to25_abseta_0p8to1p479,3879405.9053213783,64589.88942423322
ptCorr_20to25_abseta_1p479to2p5,4304925.238340632,67619.45104624635
ptCorr_25to35_abseta_0p0to0p8,3239004.9562496347,58771.23278346532
ptCorr_25to35_abseta_0p8to1p479,3108299.37561345,57441.50508474563
ptCorr_25to35_abseta_1p479to2p5,3503914.2925445694,60106.92306217807
ptCorr_35to50_abseta_0p0to0p8,1131727.5448355842,33165.85620960728
ptCorr_35to50_abseta_0p8to1p479,1221956.058680373,34414.6724703428
ptCorr_35to50_abseta_1p479to2p5,1362907.096320906,35119.8888587552
ptCorr_50to100_abseta_0p0to0p8,461315.55082719267,15627.805712395853
ptCorr_50to100_abseta_0p8to1p479,496968.7621135456,15660.222527120472
ptCorr_50to100_abseta_1p479to2p5,689641.8680083181,18745.123397523796
