,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,4598202.507742544,440333.27545376675
ptCorr_10to15_abseta_0p8to1p479,4346631.381561621,413494.4303140682
ptCorr_10to15_abseta_1p479to2p5,10732114.224287089,674727.3161738381
ptCorr_15to20_abseta_0p0to0p8,5104903.294708548,480006.60277602216
ptCorr_15to20_abseta_0p8to1p479,4882261.960291628,451310.2136085249
ptCorr_15to20_abseta_1p479to2p5,19795154.747437444,949491.9935091138
ptCorr_20to25_abseta_0p0to0p8,11113357.02739686,713854.9225874343
ptCorr_20to25_abseta_0p8to1p479,11694295.712498797,718159.8944248006
ptCorr_20to25_abseta_1p479to2p5,39574467.48358059,1333246.4595740582
ptCorr_25to35_abseta_0p0to0p8,21636581.45385946,978599.034486928
ptCorr_25to35_abseta_0p8to1p479,21638633.396935552,974758.2390996382
ptCorr_25to35_abseta_1p479to2p5,70744447.05066933,1728141.9383843269
ptCorr_35to50_abseta_0p0to0p8,16683208.484572154,702731.0368484701
ptCorr_35to50_abseta_0p8to1p479,18467613.40475877,746748.0549951269
ptCorr_35to50_abseta_1p479to2p5,66045494.243262365,1373712.614997078
ptCorr_50to100_abseta_0p0to0p8,11173595.372037156,393198.65960888995
ptCorr_50to100_abseta_0p8to1p479,12333719.350878362,389394.82431126613
ptCorr_50to100_abseta_1p479to2p5,56476074.35835873,797379.2268933821
