,Central,Stat,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p8,0.5371480125742302,0.0217471168934415,0.5368517007214181,0.5374438372387536,0.5391572616428805,0.5454477081110981,0.48797877119311
ptCorr_10to15_abseta_0p8to1p479,0.603888069272434,0.03523842999869708,0.6035640739889809,0.6042113558078258,0.6165992490906828,0.5898601587593622,0.572162274177317
ptCorr_10to15_abseta_1p479to2p5,0.6441284846612286,0.03497389132071187,0.6439045265005244,0.6443520025429413,0.6645130779387127,0.6606233764095291,0.6686298560928747
ptCorr_15to20_abseta_0p0to0p8,0.31763047805517575,0.01932391741260377,0.31680529763160464,0.31845317760712183,0.31181905093322404,0.3235467376927418,0.3563758157378381
ptCorr_15to20_abseta_0p8to1p479,0.4110186163997754,0.02808201309702279,0.41032696309224415,0.4117081973234702,0.43119496882949365,0.4009123149888822,0.4196107648553053
ptCorr_15to20_abseta_1p479to2p5,0.447818235977996,0.024944786145289437,0.44739786221661754,0.4482376969901634,0.4602722031893119,0.4498699243211248,0.4468338253459325
ptCorr_20to25_abseta_0p0to0p8,0.22832346072267715,0.008580656751978116,0.2265241716964547,0.23011232675521753,0.2353633582625803,0.2344036574987238,0.25346895142848186
ptCorr_20to25_abseta_0p8to1p479,0.289897540414623,0.0114486115624675,0.2884102394929652,0.29137698630200903,0.27096347146132316,0.29590205162094757,0.3743668114797736
ptCorr_20to25_abseta_1p479to2p5,0.33094893778742934,0.00933906078689214,0.33010886448054644,0.3317861420755058,0.33743121943837306,0.33816548432525734,0.3532008428451306
ptCorr_25to35_abseta_0p0to0p8,0.16703009446584025,0.00748439315668919,0.16227801556783414,0.17171913139079717,0.166802788965475,0.16798432365046237,0.2085923919922664
ptCorr_25to35_abseta_0p8to1p479,0.20863505900983284,0.008378183467812526,0.20561916638206393,0.21162330820839725,0.21068533093439457,0.2149543944600148,0.2293097070052699
ptCorr_25to35_abseta_1p479to2p5,0.24586451215355243,0.006172299357809479,0.24450446414979632,0.2472184184979952,0.23465806592608135,0.252442067214766,0.2708975011575136
ptCorr_35to50_abseta_0p0to0p8,0.11937868731882963,0.008466379135616087,0.1065619664672523,0.13179145504894216,0.11343702670913267,0.11616812409300055,0.1008888113496289
ptCorr_35to50_abseta_0p8to1p479,0.19116623846279016,0.009758977532907082,0.1819790859728875,0.20011961782361323,0.17107068488245228,0.1871743110139932,0.23294780682428642
ptCorr_35to50_abseta_1p479to2p5,0.18531833195312644,0.005372016599276454,0.1817019736668593,0.18889742024803302,0.168064855707072,0.19216671280123104,0.2367889787270335
ptCorr_50to100_abseta_0p0to0p8,0.11357485105892864,0.01608387090743424,0.08558391114357113,0.13974771665668104,0.11185297693381956,0.10645802715687529,0.14799279938681587
ptCorr_50to100_abseta_0p8to1p479,0.17646978414629638,0.01598045191759039,0.15849106935056295,0.1936105374478783,0.1774735036872992,0.17953353880908418,0.14473233391245907
ptCorr_50to100_abseta_1p479to2p5,0.19171743780009842,0.007205526069295323,0.186654230568719,0.1967090201596883,0.18611536406245688,0.19407437057075544,0.1741842483189335
