,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,54276423.09465802,239886.97099450848
ptCorr_10to15_abseta_0p8to1p479,33226788.660118043,187820.95155851988
ptCorr_10to15_abseta_1p479to2p5,27432341.614291374,170316.18011878623
ptCorr_15to20_abseta_0p0to0p8,30283985.45618543,180214.6014618
ptCorr_15to20_abseta_0p8to1p479,20717666.933175676,149089.31976792784
ptCorr_15to20_abseta_1p479to2p5,18838815.992691375,141636.85596802557
ptCorr_20to25_abseta_0p0to0p8,16486274.176519651,133283.31196264044
ptCorr_20to25_abseta_0p8to1p479,11552580.023134984,111489.87965624616
ptCorr_20to25_abseta_1p479to2p5,10930032.699159304,107761.04119019446
ptCorr_25to35_abseta_0p0to0p8,15630492.755414143,128772.93968147523
ptCorr_25to35_abseta_0p8to1p479,11890616.575253313,112107.24946590398
ptCorr_25to35_abseta_1p479to2p5,10987348.19620917,106372.27921218412
ptCorr_35to50_abseta_0p0to0p8,7929476.466825369,87757.47479424776
ptCorr_35to50_abseta_0p8to1p479,6157825.053831876,76604.19852678926
ptCorr_35to50_abseta_1p479to2p5,5651359.246568826,71494.31141168071
ptCorr_50to100_abseta_0p0to0p8,3773027.257506827,45916.52973048488
ptCorr_50to100_abseta_0p8to1p479,2877695.087202996,38961.03598572801
ptCorr_50to100_abseta_1p479to2p5,3088391.1107295724,39231.16306280493
