,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,2853653.5177833526,349343.82789353817
ptCorr_10to15_abseta_0p8to1p479,2738525.90156331,322368.2537217227
ptCorr_10to15_abseta_1p479to2p5,6510060.0692250915,526099.713807972
ptCorr_15to20_abseta_0p0to0p8,1943755.5285388182,294049.4710901398
ptCorr_15to20_abseta_0p8to1p479,2110739.3852793467,304871.6057980911
ptCorr_15to20_abseta_1p479to2p5,8649524.93477988,625387.66441697
ptCorr_20to25_abseta_0p0to0p8,3001279.476310129,367853.0293356899
ptCorr_20to25_abseta_0p8to1p479,3281442.5324960453,375894.0040454784
ptCorr_20to25_abseta_1p479to2p5,12939247.525899172,748577.6801567881
ptCorr_25to35_abseta_0p0to0p8,3613149.27714111,384056.9487224866
ptCorr_25to35_abseta_0p8to1p479,4264066.927217835,419332.7591282199
ptCorr_25to35_abseta_1p479to2p5,17094432.15595005,852248.103703943
ptCorr_35to50_abseta_0p0to0p8,2271975.466673361,255452.6220253617
ptCorr_35to50_abseta_0p8to1p479,3757776.2538216067,350487.4850451582
ptCorr_35to50_abseta_1p479to2p5,12449796.246381575,616877.4439905557
ptCorr_50to100_abseta_0p0to0p8,1694399.0506712657,157338.94486811088
ptCorr_50to100_abseta_0p8to1p479,2440304.612520438,179694.36945887128
ptCorr_50to100_abseta_1p479to2p5,9207769.158483991,353136.7982039619
