syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(50.040988594186295, 0.13354405615646942)","(48.646492473440745, 4.636055237801869)","(0.2562490198574691, 0.18119541961362268)","(7.561353543873176, 0.5522724118547258)","(7.571096704567895, 0.1450546852524634)","(3.648392130020736, 0.3665602572696938)"
L1PrefireUp,"(49.76730622193302, 0.13291997066534406)",-,-,"(7.5227983082798175, 0.549991116175254)","(7.514676780763187, 0.1442159289031194)","(3.6155758744965367, 0.3653920145050819)"
L1PrefireDown,"(50.30878927767143, 0.13417268727682174)",-,-,"(7.599000146318007, 0.5546150894914624)","(7.626890517641115, 0.14591164542633345)","(3.6812025384710916, 0.3676901455732187)"
PileupReweightUp,"(49.63056311277335, 0.13724533800285205)",-,-,"(8.373542855400581, 0.6411306187674487)","(7.557810330858847, 0.14937170886957213)","(3.5977267186206308, 0.35086734928961655)"
PileupReweightDown,"(50.41348047107063, 0.13529055982702204)",-,-,"(7.001950125470035, 0.5322218503532631)","(7.5948535860162165, 0.1470789782379293)","(3.6947918045771364, 0.3798780096961882)"
MuonIDSFUp,"(50.53326676595587, 0.13485945625864137)",-,-,"(7.638351805627485, 0.5575137917185898)","(7.6423760962897465, 0.14645394246447083)","(3.6829296215284573, 0.37016359984260006)"
MuonIDSFDown,"(49.55222496864201, 0.13224106683182416)",-,-,"(7.484980931031799, 0.5470814134520402)","(7.500328956852158, 0.14367069225064347)","(3.6141036936954443, 0.36298486821360476)"
DblMuTrigSFUp,"(50.08385366779802, 0.13365819712352064)",-,-,"(7.568303645201054, 0.5527371503605732)","(7.57768364372361, 0.14518165245932566)","(3.6515348326313033, 0.36689046364689826)"
DblMuTrigSFDown,"(49.99777824048962, 0.13342903822448732)",-,-,"(7.554333808589422, 0.5518041792809047)","(7.564461162409101, 0.14492686095995463)","(3.645213129273438, 0.3662243272837251)"
JetResUp,"(50.03409239165442, 0.13355159974334152)",-,-,"(7.445835440189701, 0.5448116939450968)","(7.570701089658241, 0.14519190032096202)","(3.647461079974403, 0.3658082819178113)"
JetResDown,"(50.02697104839962, 0.1335264137329643)",-,-,"(6.74019116683448, 0.5281001922582305)","(7.55300994772496, 0.14495465461644014)","(3.637493638079342, 0.36657876620039254)"
JetEnUp,"(50.4279653354466, 0.13412563165661692)",-,-,"(7.669202116803928, 0.5744274813405683)","(7.59542484390461, 0.14533432313023778)","(3.6832409166311173, 0.36560678977894456)"
JetEnDown,"(49.633989410769246, 0.13297461977915723)",-,-,"(6.403803180565709, 0.5127723057510789)","(7.552373465941347, 0.14468163003931844)","(3.623119118483375, 0.366465485907012)"
MuonEnUp,"(50.06202722787846, 0.1335694391849417)",-,-,"(7.215250317511964, 0.5518480625388078)","(7.55363851479656, 0.14507313754701096)","(3.667389540139844, 0.36657515816669595)"
MuonEnDown,"(49.99014941101342, 0.1334663463523733)",-,-,"(7.227137196186744, 0.5518875098408702)","(7.575536136279029, 0.1449246325146393)","(3.4177133863165583, 0.3236661533100743)"
NonpromptUp,-,"(57.986542542534735, 5.537520419242239)",-,-,-,-
NonpromptDown,-,"(40.16204121398115, 3.8648821513606197)",-,-,-,-
ConversionUp,-,-,"(0.2801726835371084, 0.19811200443232194)",-,-,-
ConversionDown,-,-,"(0.2323253561778299, 0.16427883479492347)",-,-,-
