syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(38.88266551803842, 0.11593994278806065)","(27.591273272493748, 3.488718919988254)","(0.0, 0.0)","(5.6967158252217285, 0.5115781330845375)","(4.698689748095567, 0.11535278953700363)","(1.6397975857810587, 0.21654819075465798)"
L1PrefireUp,"(38.664767790024555, 0.11538972672651056)",-,-,"(5.67343458148856, 0.508911404406153)","(4.667985920882431, 0.11471105596403923)","(1.6192469619382646, 0.21596103928716456)"
L1PrefireDown,"(39.095203021945196, 0.1164924370296931)",-,-,"(5.7192095171061785, 0.5142945966378363)","(4.728752923470067, 0.1160089197014759)","(1.66031727379, 0.2171133877555814)"
PileupReweightUp,"(38.57227089709832, 0.1197303103525358)",-,-,"(5.764136437597122, 0.535091477283577)","(4.613766659862979, 0.11823869595478095)","(1.6148134995010026, 0.18734416817782684)"
PileupReweightDown,"(39.21778479860949, 0.11752678883237003)",-,-,"(5.542467211503539, 0.50759414853142)","(4.760756948641735, 0.1173367211419347)","(1.6864774782021887, 0.2564132715244619)"
MuonIDSFUp,"(39.32322657144191, 0.11725926540006645)",-,-,"(5.76098764912436, 0.5172067385514482)","(4.748712463474985, 0.11657613647828759)","(1.6581506579575855, 0.2191841866308039)"
MuonIDSFDown,"(38.445747474439685, 0.11463515372963609)",-,-,"(5.632966765642296, 0.5060087419489935)","(4.6490643260102305, 0.11414329381339552)","(1.6215855813829831, 0.21393576835525555)"
DblMuTrigSFUp,"(38.918826679030886, 0.11604762730121713)",-,-,"(5.701775258862655, 0.5120041618644428)","(4.703219398736551, 0.11546118304680582)","(1.6413120256194276, 0.21673974089941211)"
DblMuTrigSFDown,"(38.8461185727641, 0.11583114232482077)",-,-,"(5.691614915349437, 0.5111493386704472)","(4.69411421726386, 0.11524337748322329)","(1.6382690978790277, 0.21635622086988693)"
JetResUp,"(38.92387553976883, 0.11600990234460884)",-,-,"(5.026968720225454, 0.4957147340666165)","(4.696724407545278, 0.11559208594273425)","(1.6589080315759754, 0.2165571738337784)"
JetResDown,"(38.85873165945009, 0.11591853554406512)",-,-,"(4.9188786900301595, 0.49706049004042807)","(4.688330008806199, 0.11542699142181063)","(1.6336785125316609, 0.2166623927514154)"
JetEnUp,"(39.13225427555795, 0.11633839129992772)",-,-,"(5.9148210920523345, 0.5255688927086117)","(4.715888047312127, 0.11550597871377093)","(1.68056681681644, 0.2168103224751345)"
JetEnDown,"(38.65729611183315, 0.11557084085758873)",-,-,"(4.621298578529519, 0.4802206854291219)","(4.678008521133997, 0.11517276571792583)","(1.6030326549910299, 0.21630319704311196)"
MuonEnUp,"(38.90920255682317, 0.11597593393740584)",-,-,"(5.358406482465633, 0.5070614503284869)","(4.672684464704776, 0.11549214787155858)","(1.6218722434160524, 0.21655141468021785)"
MuonEnDown,"(38.84959509439411, 0.11590243727174196)",-,-,"(5.430288264046613, 0.5097812804525759)","(4.707062807661804, 0.11532055687424113)","(1.6354333753054813, 0.2166094506314576)"
NonpromptUp,-,"(32.86097890296567, 4.164868378212735)",-,-,-,-
NonpromptDown,-,"(22.809727342025866, 2.9088356386454883)",-,-,-,-
ConversionUp,-,-,"(0.0, 0.0)",-,-,-
ConversionDown,-,-,"(0.0, 0.0)",-,-,-
