,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,0.6784519983480519,0.005174850642099153
ptCorr_10to15_abseta_0p8to1p479,0.6982958544958571,0.006727935144166662
ptCorr_10to15_abseta_1p479to2p5,0.7655305745830712,0.008078399544770933
ptCorr_15to20_abseta_0p0to0p8,0.4718458409474764,0.00554909614556551
ptCorr_15to20_abseta_0p8to1p479,0.5166872240436081,0.007049552307439797
ptCorr_15to20_abseta_1p479to2p5,0.59461238685716,0.008191802319674502
ptCorr_20to25_abseta_0p0to0p8,0.3690277465309469,0.0065022649249012
ptCorr_20to25_abseta_0p8to1p479,0.4196662862300517,0.008294115502855071
ptCorr_20to25_abseta_1p479to2p5,0.5002455700419721,0.009597277439919866
ptCorr_25to35_abseta_0p0to0p8,0.2759462546382949,0.005639108823221665
ptCorr_25to35_abseta_0p8to1p479,0.3394288441809478,0.007231296706967496
ptCorr_25to35_abseta_1p479to2p5,0.4107768533291304,0.008354741388766398
ptCorr_35to50_abseta_0p0to0p8,0.19295408413088408,0.0061625822027826516
ptCorr_35to50_abseta_0p8to1p479,0.2578710422128768,0.00811952973317108
ptCorr_35to50_abseta_1p479to2p5,0.31136337248460527,0.009176911790332339
ptCorr_50to100_abseta_0p0to0p8,0.16359240231750838,0.005989358515750265
ptCorr_50to100_abseta_0p8to1p479,0.22260765480592815,0.007791768211922414
ptCorr_50to100_abseta_1p479to2p5,0.2806681715076452,0.008609056369412376
