syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(100.96975193750569, 0.38481524138840495)","(38.46516635070751, 4.2666674591673495)","(9.436573287334205, 4.736268092324993)","(6.561099752965381, 0.7096616052265582)","(7.245602940216887, 0.14299226867010753)","(3.0328572310307385, 0.3484175742947102)"
L1PrefireUp,"(100.74343358556224, 0.3839531886549882)",-,-,"(6.546596510613985, 0.7080812172005013)","(7.22921481753542, 0.1426677210738194)","(3.0259036199355585, 0.3475651490585536)"
L1PrefireDown,"(101.18832726030915, 0.38564824807950027)",-,-,"(6.57536383485279, 0.7112243313322956)","(7.261422547606079, 0.14330634935513473)","(3.0396202595655626, 0.3491915533883287)"
PileupReweightUp,"(100.47433662482574, 0.39489511017968776)",-,-,"(6.526359708493041, 0.7509182968140999)","(7.183245661190316, 0.1464646966838343)","(2.9527516109367555, 0.31873727128901364)"
PileupReweightDown,"(101.44684639402152, 0.38880806449269356)",-,-,"(6.56702967310381, 0.6994303109337131)","(7.292800073692354, 0.14447205304966168)","(3.1011562604955727, 0.3815708406258712)"
MuonIDSFUp,"(103.06519515945921, 0.3928172809242861)",-,-,"(6.716954836995832, 0.7245211443134406)","(7.3958273200525655, 0.14596353363225836)","(3.1062810500801987, 0.3601102622646204)"
MuonIDSFDown,"(98.89825552165162, 0.3769804637810577)",-,-,"(6.407310554664458, 0.6950618127149171)","(7.097101870474534, 0.14008149547413556)","(2.9603644399043794, 0.33693587847620415)"
DblMuTrigSFUp,"(100.98202670771208, 0.38486188455851766)",-,-,"(6.561903098382178, 0.7097468824621269)","(7.246566195430788, 0.14301084314237428)","(3.0332412983953274, 0.3484673461998504)"
DblMuTrigSFDown,"(100.9573674015413, 0.3847681878859456)",-,-,"(6.560288688662462, 0.7095755405914044)","(7.244630778352414, 0.1429735254302841)","(3.032469274263431, 0.34836720121765274)"
JetResUp,"(101.02489582486139, 0.3848897840880818)",-,-,"(6.6767564339831855, 0.7224026795199888)","(7.2576761355272374, 0.14305598288841298)","(3.0448500971749586, 0.34852066174670854)"
JetResDown,"(100.9116541545998, 0.3846772738148196)",-,-,"(6.337487220645053, 0.7117656026861282)","(7.250290782751092, 0.14302652725111392)","(3.002718226601326, 0.34840396863890444)"
JetEnUp,"(102.15672599710257, 0.3872805572588899)",-,-,"(7.274063543094973, 0.7433613293972515)","(7.289120657806933, 0.14356427225757257)","(3.067837805378543, 0.348708677396787)"
JetEnDown,"(99.7741483425195, 0.3823619722710231)",-,-,"(6.382182938004964, 0.6761256746376281)","(7.182780322885458, 0.14234525925571118)","(2.9643357165720086, 0.34784063674838367)"
MuonEnUp,"(101.02812746556322, 0.3848327991310455)",-,-,"(6.5149911791994, 0.708654284186426)","(7.249632016642371, 0.1430322035859407)","(3.0331392740692578, 0.3483937722670989)"
MuonEnDown,"(100.8447096632185, 0.3846156310733832)",-,-,"(6.508583749494694, 0.7150584504465101)","(7.256099727008017, 0.14301539903878974)","(3.017989452631263, 0.3483995357557014)"
ElectronEnUp,"(100.96716942398395, 0.3848109082544177)",-,-,"(6.561099752965381, 0.7096616052265582)","(7.244317047815316, 0.14298648670470857)","(3.0328572310307385, 0.3484175742947102)"
ElectronEnDown,"(100.96975193750569, 0.38481524138840495)",-,-,"(6.561099752965381, 0.7096616052265582)","(7.245602940216887, 0.14299226867010753)","(3.0328572310307385, 0.3484175742947102)"
ElectronResUp,"(100.96975193750569, 0.38481524138840495)",-,-,"(6.561099752965381, 0.7096616052265582)","(7.245602940216887, 0.14299226867010753)","(3.0328572310307385, 0.3484175742947102)"
ElectronResDown,"(100.96975193750569, 0.38481524138840495)",-,-,"(6.561099752965381, 0.7096616052265582)","(7.245602940216887, 0.14299226867010753)","(3.0328572310307385, 0.3484175742947102)"
NonpromptUp,-,"(69.22346577748667, 7.175605336837409)",-,-,-,-
NonpromptDown,-,"(22.14184158034555, 4.084848670073389)",-,-,-,-
ConversionUp,-,-,"(17.08280737154318, 8.660013088895075)",-,-,-
ConversionDown,-,-,"(1.790339203125229, 0.8314738539358736)",-,-,-
