0,1,2,3,4,5,6,7,8,9,10,11
chromosome,"(128, 'RMSprop', 0.0001, 'StepLR')","(64, 'AdamW', 0.0005, 'StepLR')","(32, 'Adadelta', 0.0001, 'StepLR')","(32, 'Adam', 0.002, 'CyclicLR')","(64, 'Adam', 0.0001, 'CyclicLR')","(128, 'Adam', 0.002, 'StepLR')","(32, 'RMSprop', 0.0001, 'StepLR')","(32, 'Adam', 0.001, 'CyclicLR')","(32, 'RMSprop', 0.002, 'CyclicLR')","(64, 'Adam', 0.002, 'StepLR')","(128, 'RMSprop', 0.001, 'CyclicLR')","(128, 'AdamW', 0.01, 'StepLR')"
fitness,0.00025802306210010004,0.0002663295135965,0.00034913679460679995,0.0002680348409782,0.00027291279711880005,0.0002549092970078,0.0002712782608966,0.0002699636155296,0.00026769058228959995,0.00026255502746909995,0.0002613559650878,0.00026109061940069996
