syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(8.408424514543475, 0.03156014250940356)","(37.00435212796586, 4.237610261475298)","(2.1959060315111096, 1.6751925465152262)","(17.560068864978685, 1.0020525976083372)","(15.363542304333224, 0.21746936374775938)","(5.772536218406884, 0.33980998137110524)"
L1PrefireUp,"(8.363618337101245, 0.03141603086793922)",-,-,"(17.46148571656638, 0.9978143269299948)","(15.258938165126814, 0.21614618574499717)","(5.7066026166587145, 0.337950448342604)"
L1PrefireDown,"(8.452592444247358, 0.03170633412778504)",-,-,"(17.658545884231756, 1.006362448261296)","(15.466645048712568, 0.2188264682670966)","(5.839157499117123, 0.3416665674274646)"
PileupReweightUp,"(8.333287831115362, 0.03237945751275994)",-,-,"(17.571558431102517, 1.0683898030714432)","(15.288858892048893, 0.223891698996365)","(5.730703577766656, 0.32172348537305295)"
PileupReweightDown,"(8.474113274521061, 0.0319758126151194)",-,-,"(17.41696209314779, 0.9914911041021087)","(15.43545572239572, 0.2199514095630176)","(5.812403232633924, 0.36486120361770474)"
MuonIDSFUp,"(8.576528270419693, 0.032188084695789876)",-,-,"(17.8995152017738, 1.020355642578696)","(15.629941662179911, 0.22114478509722293)","(5.87972806923926, 0.3461616664632508)"
MuonIDSFDown,"(8.242285462092314, 0.03094642408921835)",-,-,"(17.22467550520215, 0.9841633797358483)","(15.099965000401527, 0.21387098444084157)","(5.66654887057733, 0.33355568779357564)"
DblMuTrigSFUp,"(8.409708120633258, 0.031564929221588496)",-,-,"(17.563193479738374, 1.0022291042132698)","(15.36646695915353, 0.21751118865098348)","(5.773478590330706, 0.3398612677520815)"
DblMuTrigSFDown,"(8.407129725329833, 0.03155531480652411)",-,-,"(17.556911669650944, 1.0018741824285777)","(15.360587502592562, 0.2174271137169069)","(5.771584783177561, 0.3397581781242451)"
JetResUp,"(8.419739813548354, 0.03158699689114399)",-,-,"(17.96981545982137, 1.0113704193365733)","(15.373972641185787, 0.21784404963013168)","(5.821624812803977, 0.34086452544317725)"
JetResDown,"(8.389837890528842, 0.03152057492354278)",-,-,"(16.926086264997362, 0.9852027263163711)","(15.348294984982374, 0.21750747168864437)","(5.722153141412282, 0.34082398760420063)"
JetEnUp,"(8.506864784912793, 0.03175713671129712)",-,-,"(18.64768764748088, 1.034644398374883)","(15.436010123427868, 0.21804573489952916)","(5.870989620006661, 0.34028489522170935)"
JetEnDown,"(8.302445139372292, 0.03134621335852029)",-,-,"(16.596618973224032, 0.9650051940704498)","(15.302994594975807, 0.21693749160844045)","(5.658087375351356, 0.33994466677591717)"
MuonEnUp,"(8.413185093798235, 0.031566418436784975)",-,-,"(17.439639167512734, 0.997043158535756)","(15.111625452011166, 0.21549141845407077)","(5.67643709274163, 0.3392292901590776)"
MuonEnDown,"(8.40124120920273, 0.031553110501831225)",-,-,"(17.648438985104423, 1.0076107894364636)","(15.697268179420417, 0.21935355732140113)","(5.842351250871499, 0.3403560588947962)"
NonpromptUp,-,"(75.72850033932589, 7.49851651610368)",-,-,-,-
NonpromptDown,-,"(14.777914995207558, 3.555064590778377)",-,-,-,-
ConversionUp,-,-,"(4.766248602195317, 4.024277997320158)",-,-,-
ConversionDown,-,-,"(0.3533027874934827, 0.23888737046578742)",-,-,-
