,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,0.6781627230047248,0.005132084920205002
ptCorr_10to15_abseta_0p8to1p479,0.7046674830724282,0.006726309551622018
ptCorr_10to15_abseta_1p479to2p5,0.7638614764484946,0.008123490696906639
ptCorr_15to20_abseta_0p0to0p8,0.4732511069720134,0.0053167024468473685
ptCorr_15to20_abseta_0p8to1p479,0.5131390652214447,0.006719681330972134
ptCorr_15to20_abseta_1p479to2p5,0.5898124720068819,0.007958707907986558
ptCorr_20to25_abseta_0p0to0p8,0.3576305289586163,0.006053044468410687
ptCorr_20to25_abseta_0p8to1p479,0.42091261625978305,0.007842150300411613
ptCorr_20to25_abseta_1p479to2p5,0.49512362609961247,0.009238902160050438
ptCorr_25to35_abseta_0p0to0p8,0.27773327526881153,0.005323443131923197
ptCorr_25to35_abseta_0p8to1p479,0.3450143718911341,0.007004486563670823
ptCorr_25to35_abseta_1p479to2p5,0.3975152166783026,0.007941156618804695
ptCorr_35to50_abseta_0p0to0p8,0.20252276871980007,0.006126874541860546
ptCorr_35to50_abseta_0p8to1p479,0.25290559151682396,0.007790253016536653
ptCorr_35to50_abseta_1p479to2p5,0.306830124169581,0.008888510816597698
ptCorr_50to100_abseta_0p0to0p8,0.16480554348801948,0.005897250937402778
ptCorr_50to100_abseta_0p8to1p479,0.23539810200358602,0.008063994220284441
ptCorr_50to100_abseta_1p479to2p5,0.28818020653520926,0.008756581675370956
