,Central,Stat,PromptNormUp,PromptNormDown,MotherJetPtUp,MotherJetPtDown,RequireHeavyTag
ptCorr_10to15_abseta_0p0to0p9,0.38622386443499834,0.0070921098338834945,0.38610165111969236,0.3863460060242884,0.3785645393784431,0.3950993725991058,0.3804571831896617
ptCorr_10to15_abseta_0p9to1p6,0.40488050161717176,0.008809503296348893,0.4047622896358326,0.4049986431030345,0.39617874581340173,0.41788271742806277,0.41011525825494155
ptCorr_10to15_abseta_1p6to2p4,0.4467770669186355,0.01014727139410733,0.44666782827631,0.4468862390149348,0.4550123944034504,0.4527743765507681,0.44161017980676265
ptCorr_15to20_abseta_0p0to0p9,0.18685103560186125,0.005800930617207799,0.1865560396554372,0.18714575863077398,0.19112138378364146,0.19369032878955772,0.1922703425221224
ptCorr_15to20_abseta_0p9to1p6,0.2025476996692286,0.007632303607056927,0.20222487268898373,0.20287019014503266,0.1985899920416694,0.2139180987521807,0.24276157540458565
ptCorr_15to20_abseta_1p6to2p4,0.25198249128999567,0.009314376216573583,0.2516946934587209,0.2522700010363504,0.23150859867132553,0.25542434897247634,0.2767447938228819
ptCorr_20to30_abseta_0p0to0p9,0.12872496155634738,0.0053222455568600665,0.1278721211595198,0.1295758914281045,0.12222904707385211,0.13417558207088276,0.13997869550648478
ptCorr_20to30_abseta_0p9to1p6,0.14443942709318616,0.007151545207737331,0.14354199371740364,0.1453346492586742,0.14630365711190843,0.16131721668337332,0.1402425639915076
ptCorr_20to30_abseta_1p6to2p4,0.19078789554143863,0.009056242533133448,0.18995793122766838,0.19161585417343105,0.18815014641739958,0.19828695215166584,0.21724493030143932
ptCorr_30to50_abseta_0p0to0p9,0.07721360240326564,0.0016023153679460991,0.07319012647369104,0.0811998256262448,0.07373983682144175,0.0790732701599367,0.06597648966093445
ptCorr_30to50_abseta_0p9to1p6,0.09839924349405685,0.0022887255603145505,0.09386854562493506,0.10288095125094729,0.09220256756881474,0.10433199729836413,0.09254495718182765
ptCorr_30to50_abseta_1p6to2p4,0.13154823051814202,0.0030093392937859268,0.12655355332538762,0.13648112309441868,0.12313232882616604,0.13838461788852044,0.12348367658055927
ptCorr_50to100_abseta_0p0to0p9,0.0775555365673182,0.006136608601946578,0.057593191151017346,0.09665541867420524,0.08033286020784203,0.07961051739841425,0.026493465616341035
ptCorr_50to100_abseta_0p9to1p6,0.10515503230204987,0.00906806742586349,0.08121307789850282,0.12782500185235698,0.10702805420050501,0.10632559249569169,0.05638704876709675
ptCorr_50to100_abseta_1p6to2p4,0.15354915452654264,0.012366185669531696,0.12692298838997376,0.1785068134899148,0.16884687312096044,0.1663025356791313,0.1001063983485779
