0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
chromosome,"(64, 'AdamW', 0.01, 'StepLR')","(128, 'AdamW', 0.01, 'CyclicLR')","(128, 'Adam', 0.002, 'StepLR')","(64, 'Adam', 0.002, 'CyclicLR')","(64, 'RMSprop', 0.005, 'ExponentialLR')","(64, 'AdamW', 0.001, 'CyclicLR')","(128, 'AdamW', 0.01, 'ExponentialLR')","(128, 'Adadelta', 0.002, 'StepLR')","(128, 'Adadelta', 0.01, 'ExponentialLR')","(64, 'Adam', 0.01, 'StepLR')","(64, 'AdamW', 0.01, 'ExponentialLR')","(128, 'Adam', 0.005, 'StepLR')","(128, 'Adam', 0.002, 'ExponentialLR')","(128, 'Adam', 0.002, 'CyclicLR')","(128, 'Adam', 0.001, 'ExponentialLR')","(128, 'AdamW', 0.001, 'CyclicLR')","(128, 'AdamW', 0.001, 'ExponentialLR')","(128, 'AdamW', 0.005, 'StepLR')"
fitness,0.4109612977164132,0.4883389630998884,0.3933084734280904,0.39492078659647983,0.8155411821774075,0.39420493908155535,0.42197086530639993,0.7102242006574359,0.6461459089006697,0.41934701603934865,0.3976317011742365,0.39463528404917037,0.3945887206509,0.3944624881063188,0.3936050586359841,0.39324133251962196,0.39322244929132016,0.39288860722950525
