syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(12.016835341702869, 0.04515744803857117)","(35.104021831983005, 4.203443033198729)","(8.601240059634291, 3.909078160414661)","(6.678609870157974, 0.6420930689356941)","(5.9042400844407945, 0.12921291456088746)","(1.7555523107016526, 0.15469310258637098)"
L1PrefireUp,"(11.990830706658546, 0.04505978780412707)",-,-,"(6.664221922151084, 0.6407263814784709)","(5.891063782343627, 0.1289253535815546)","(1.7516112472502758, 0.15436121287762522)"
L1PrefireDown,"(12.041814795145353, 0.04525129557814386)",-,-,"(6.692518961553792, 0.6434311027981084)","(5.916946317000278, 0.1294900599849538)","(1.759408428260648, 0.1549674078139887)"
PileupReweightUp,"(11.929485035132267, 0.04617873640903765)",-,-,"(6.6828023001963786, 0.6576672945121171)","(5.8954499669231755, 0.1332683029853977)","(1.7671211708349752, 0.13557255726498801)"
PileupReweightDown,"(12.096972750489941, 0.0457120990034341)",-,-,"(6.650013636003448, 0.6457448956698626)","(5.918179187932947, 0.13013163834028005)","(1.7379383694830057, 0.184262807302471)"
MuonIDSFUp,"(12.344899007515904, 0.04639225858239214)",-,-,"(6.854336021009384, 0.657857610753233)","(6.040955754195746, 0.1322057267572828)","(1.7959121072363973, 0.1588325256138768)"
MuonIDSFDown,"(11.693654801474509, 0.04395111452951265)",-,-,"(6.505459826650514, 0.6266370358737857)","(5.76924677125284, 0.12628549032070813)","(1.7156841809869363, 0.1505945700055919)"
DblMuTrigSFUp,"(12.018320488094602, 0.04516301131840745)",-,-,"(6.679415292820552, 0.6421717355300663)","(5.905018414868826, 0.1292297435021021)","(1.755763382189709, 0.15470685024427597)"
DblMuTrigSFDown,"(12.01533682129338, 0.0451518353893407)",-,-,"(6.67779640314538, 0.6420136353858812)","(5.903454334213981, 0.12919592781657746)","(1.7553393411095615, 0.15467922196538814)"
JetResUp,"(12.015318749602747, 0.04515938298622592)",-,-,"(7.055109331426033, 0.6597074129023905)","(5.921659458543617, 0.12931378203810817)","(1.7820576685448228, 0.154860561481149)"
JetResDown,"(12.018929585784303, 0.04516221253287433)",-,-,"(6.443303403356775, 0.6390157416488382)","(5.905579212291662, 0.12925378379979474)","(1.7806569789503548, 0.15480700122732496)"
JetEnUp,"(12.13722510295252, 0.04541686320549369)",-,-,"(7.429484333090357, 0.6730593409334095)","(5.94570407398977, 0.12990704998236113)","(1.8183456178399977, 0.1553571084768825)"
JetEnDown,"(11.892451009631415, 0.044890480334469234)",-,-,"(6.156327411638598, 0.621539394051956)","(5.865699164308137, 0.12879158454308443)","(1.707082804802204, 0.15406057359332725)"
MuonEnUp,"(12.026114272376736, 0.045170063319951714)",-,-,"(6.674068526059775, 0.6417822917615199)","(5.915771831285775, 0.12919420022835937)","(1.7545838819417015, 0.1546558349558566)"
MuonEnDown,"(12.01293600083927, 0.04515451769612641)",-,-,"(6.6942417447119835, 0.6464162346956535)","(5.925800332162075, 0.12923486762155845)","(1.7422427772818037, 0.15469301710909739)"
NonpromptUp,-,"(57.778541715025014, 6.784941877488732)",-,-,-,-
NonpromptDown,-,"(23.814362411164556, 4.029873989167739)",-,-,-,-
ConversionUp,-,-,"(15.759372087710284, 7.139866745125913)",-,-,-
ConversionDown,-,-,"(1.4431080315582998, 0.7044147576798879)",-,-,-
