syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.794426717240094, 0.020260978368933646)","(7.448402450606349, 1.8687389278952233)","(0.0, 0.0)","(2.335326795614971, 0.2560192924449379)","(3.1407907092191083, 0.10516345449481261)","(1.356361952736315, 0.281756456420615)"
L1PrefireUp,"(3.75503528201798, 0.02005503592935076)",-,-,"(2.3103368188092035, 0.2535352588589486)","(3.1049602833154393, 0.10397121760957764)","(1.3395470558448772, 0.2807478273839479)"
L1PrefireDown,"(3.8331107813614818, 0.020464178940304157)",-,-,"(2.360092993594518, 0.2584923585335933)","(3.176043396239442, 0.10634253188698302)","(1.3727565835726978, 0.28251510378099526)"
PileupReweightUp,"(3.748788600871192, 0.019994624170250812)",-,-,"(2.330235000951929, 0.25921144479846897)","(3.0967788840125228, 0.10346348252474989)","(1.2751284136125152, 0.2239123806478133)"
PileupReweightDown,"(3.836325920229096, 0.020858273651682382)",-,-,"(2.340706724917858, 0.2575978189039705)","(3.1772398677190505, 0.10855671554880872)","(1.4638759171911961, 0.3553625440009824)"
MuonIDSFUp,"(3.847591504599497, 0.020539068710082018)",-,-,"(2.3642753602393807, 0.2595479955008945)","(3.1876586422243323, 0.10667688048146032)","(1.3920669264762058, 0.2982322179359834)"
MuonIDSFDown,"(3.741754388823611, 0.019988435076290525)",-,-,"(2.306616039339293, 0.25255856390750875)","(3.094430457049578, 0.10368133269810313)","(1.3215395282677085, 0.2658879187350355)"
DblMuTrigSFUp,"(3.7956798832152168, 0.020267546980274352)",-,-,"(2.336086580005901, 0.2561164694402702)","(3.141903321093352, 0.10520005620588335)","(1.3568648866864739, 0.2819090068765885)"
DblMuTrigSFDown,"(3.7931582439533162, 0.020254331757715613)",-,-,"(2.3345580427424943, 0.2559208430335067)","(3.1396641809214514, 0.1051264090392356)","(1.3558509538301784, 0.28160022175916405)"
JetResUp,"(3.7967948363957604, 0.020273945115536405)",-,-,"(2.314625418342165, 0.255696426085617)","(3.134122992171359, 0.105017122005031)","(1.3579601396229506, 0.28177613311548577)"
JetResDown,"(3.7900779107459965, 0.020250568450973984)",-,-,"(2.1682040152883157, 0.24607572983843407)","(3.1429209960976534, 0.10527720112316957)","(1.3559524851833291, 0.2817689447393377)"
JetEnUp,"(3.8484663648158888, 0.02041043434354412)",-,-,"(2.49422203492979, 0.2636406700366635)","(3.146169616955462, 0.10540109805292164)","(1.3582085378194424, 0.2817665472887873)"
JetEnDown,"(3.7351423386394766, 0.020098931080422208)",-,-,"(2.2410584942018685, 0.24771030925232443)","(3.128099611075763, 0.10494588038602143)","(1.3449405882585934, 0.2817622958818189)"
MuonEnUp,"(3.79796042461024, 0.02027658508027248)",-,-,"(2.257667693009571, 0.2553342452241289)","(3.1463680710345447, 0.10530978424600296)","(1.3624959008805768, 0.28176331321608433)"
MuonEnDown,"(3.7908555973774476, 0.02024871831972587)",-,-,"(2.3249445782555545, 0.2571651995368093)","(3.142447386503213, 0.1049599078235807)","(1.347679274328275, 0.2817607516206656)"
NonpromptUp,-,"(13.648697169749934, 3.0926021657392826)",-,-,-,-
NonpromptDown,-,"(4.588589491428098, 1.7228730037173248)",-,-,-,-
ConversionUp,-,-,"(0.0, 0.0)",-,-,-
ConversionDown,-,-,"(0.0, 0.0)",-,-,-
