syst,signal,nonprompt,conversion,diboson,ttX,others
Central,9.96037184129104,3.113121540410857,0.10449602100128108,0.30788952420045196,0.29318395683665077,0.1117598916483817
L1PrefireUp,9.857983179654216,-,-,0.30538204918129747,0.2897922995056613,0.11015751868691849
L1PrefireDown,10.057005807149578,-,-,0.31026651505100655,0.2964218560071609,0.11332629736221708
PileupReweightUp,9.851282146704555,-,-,0.3082108053222831,0.3108832904020735,0.11776675956221994
PileupReweightDown,10.08150048651134,-,-,0.30941958916068363,0.28184855778208434,0.10494461584767252
MuonIDSFUp,10.338270079828447,-,-,0.3187382615379959,0.3031528353009122,0.11501279345180176
MuonIDSFDown,9.59117447515513,-,-,0.29729773068005827,0.2834073915190172,0.10856858316615432
DblMuTrigSFUp,9.962462293020018,-,-,0.30795360369934216,0.2932435360484038,0.11178197523361488
DblMuTrigSFDown,9.9582516439682,-,-,0.30782452228298285,0.2931234621892144,0.1117374465235868
JetResUp,9.958104714414398,-,-,0.2969675244772361,0.29365883834030937,0.11342648963420802
JetResDown,9.950766633025413,-,-,0.2902239351652547,0.29355580682707927,0.110474948810143
JetEnUp,9.990435203533133,-,-,0.31089727791331057,0.2932930533258447,0.11263496159453469
JetEnDown,9.920088790562131,-,-,0.3030873201918181,0.29329315066932565,0.11027971299240015
MuonEnUp,9.970419865656766,-,-,0.30786191579762584,0.2925509702926946,0.11176040943813352
MuonEnDown,9.949486711625168,-,-,0.30779266442767855,0.2896411816382548,0.1135378245718411
ElectronEnUp,9.96037184129104,-,-,0.30788952420045196,0.29318395683665077,0.1117598916483817
ElectronEnDown,9.96037184129104,-,-,0.30788952420045196,0.29318395683665077,0.1117598916483817
ElectronResUp,9.96037184129104,-,-,0.30788952420045196,0.29318395683665077,0.1117598916483817
ElectronResDown,9.96037184129104,-,-,0.30788952420045196,0.29318395683665077,0.1117598916483817
NonpromptUp,-,4.873497612534807,-,-,-,-
NonpromptDown,-,2.2849295658876123,-,-,-,-
ConversionUp,-,-,0.1429973008310092,-,-,-
ConversionDown,-,-,0.06599474117155296,-,-,-
