,Central,Stat
ptCorr_10to15_abseta_0p0to0p9,0.39817702924777687,0.002790451390504332
ptCorr_10to15_abseta_0p9to1p6,0.40970730101909664,0.0033144447232573925
ptCorr_10to15_abseta_1p6to2p4,0.4404299443547141,0.003590103588913926
ptCorr_15to20_abseta_0p0to0p9,0.20912796580039908,0.0021484822554464007
ptCorr_15to20_abseta_0p9to1p6,0.2280391318138648,0.002617101538182351
ptCorr_15to20_abseta_1p6to2p4,0.26515472424131725,0.0029491320864638523
ptCorr_20to30_abseta_0p0to0p9,0.138639969651462,0.0015113843847671471
ptCorr_20to30_abseta_0p9to1p6,0.16332475610609024,0.002117346774465612
ptCorr_20to30_abseta_1p6to2p4,0.2062445287194504,0.002478080392106325
ptCorr_30to50_abseta_0p0to0p9,0.07850827794091152,0.0012272972750609755
ptCorr_30to50_abseta_0p9to1p6,0.10238997424735762,0.0017758513897098132
ptCorr_30to50_abseta_1p6to2p4,0.14393266637489416,0.0026851058230858258
ptCorr_50to100_abseta_0p0to0p9,0.058822984902032735,0.0013412089869658196
ptCorr_50to100_abseta_0p9to1p6,0.07229011279657076,0.0019074951541347216
ptCorr_50to100_abseta_1p6to2p4,0.11524050057888859,0.0029073568354319964
