0,1,2,3,4,5,6,7,8,9,10,11,12,13
chromosome,"(128, 'Adadelta', 0.001, 'StepLR')","(64, 'Adam', 0.005, 'CyclicLR')","(64, 'Adadelta', 0.01, 'StepLR')","(128, 'RMSprop', 0.01, 'CyclicLR')","(128, 'Adam', 0.01, 'StepLR')","(128, 'AdamW', 0.008, 'CyclicLR')","(64, 'Adam', 0.002, 'StepLR')","(128, 'Adam', 0.01, 'CyclicLR')","(128, 'AdamW', 0.005, 'CyclicLR')","(128, 'Adam', 0.001, 'StepLR')","(128, 'AdamW', 0.01, 'StepLR')","(128, 'AdamW', 0.001, 'StepLR')","(128, 'Adam', 0.005, 'StepLR')","(128, 'Adam', 0.008, 'StepLR')"
fitness,0.0006799857996050001,0.0005988543959599001,0.0006734189153427,0.0006540146409755,0.0005765326125990001,0.0005842889994381999,0.0005904442824069001,0.0005794932090101,0.0005790560951544001,0.0005776930933907001,0.0005764667068918,0.0005757351560250999,0.0005724160678329,0.0005680951916034999
