syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(2.4942364779950785, 0.01719481708312829)","(3.5846554059536837, 1.314703913267916)","(0.10004147428739696, 0.07163068488534854)","(1.5659454423548886, 0.16586109954039885)","(2.2470561104297735, 0.08619046795979068)","(0.962251384966464, 0.2471502238691511)"
L1PrefireUp,"(2.46901459743252, 0.017030143300810395)",-,-,"(1.5507453403254106, 0.16428078398290957)","(2.222832851334629, 0.0852383685630348)","(0.9504119031582896, 0.24509801253218919)"
L1PrefireDown,"(2.519130877412837, 0.017359442392658936)",-,-,"(1.5812059998095753, 0.16746575089135457)","(2.2708155791248172, 0.08714646233744154)","(0.974049047995926, 0.24920710209697483)"
PileupReweightUp,"(2.4910739403094513, 0.01877863490857464)",-,-,"(1.583164742626484, 0.17533750461166409)","(2.2056216677516565, 0.09259324702202075)","(0.9805966070031269, 0.27480155013242424)"
PileupReweightDown,"(2.498514512189089, 0.016445221662227148)",-,-,"(1.5370583055612148, 0.15956088023162743)","(2.2829837497212284, 0.08281058132425265)","(0.9445658754812142, 0.2241025981718551)"
MuonIDSFUp,"(2.5301644689272145, 0.01743538479257678)",-,-,"(1.58707257305507, 0.16839989562516947)","(2.2816639114597934, 0.08737449896834265)","(0.9777632146096322, 0.2509689073753045)"
MuonIDSFDown,"(2.458656672598231, 0.016958468390774185)",-,-,"(1.5450239663594938, 0.163370813745709)","(2.2128290845778547, 0.08502772484741099)","(0.94686584913592, 0.24335578665476998)"
DblMuTrigSFUp,"(2.4946937291873037, 0.01719792712762385)",-,-,"(1.5661787591500946, 0.16589010438362323)","(2.2474597158297325, 0.08620564943666442)","(0.9623891571839743, 0.24717773370611257)"
DblMuTrigSFDown,"(2.493772179571035, 0.01719166000087768)",-,-,"(1.5657085654369312, 0.16583160544825945)","(2.2466461090508396, 0.08617505349116808)","(0.9621117874625772, 0.2471224891190691)"
JetResUp,"(2.5089632777213073, 0.017254376947784044)",-,-,"(1.4889127059917273, 0.1659424424006434)","(2.236948367144219, 0.08604073343541405)","(0.9616322172359828, 0.2471335909796037)"
JetResDown,"(2.4821281118495886, 0.017134232138224778)",-,-,"(1.6032814245567653, 0.17088694764216278)","(2.241138915903724, 0.08606189782413802)","(0.968259509283655, 0.24714772774787658)"
JetEnUp,"(2.565531846151064, 0.01745647424155757)",-,-,"(1.591168606797739, 0.17001391296454657)","(2.2536017425014507, 0.0862264276132598)","(0.9792211014335247, 0.2472856660541541)"
JetEnDown,"(2.42986532953884, 0.01695482019450834)",-,-,"(1.4761139532551648, 0.16239194052727512)","(2.2302721621220387, 0.08597991301460654)","(0.949659072864453, 0.24684466018770096)"
MuonEnUp,"(2.4973426352872994, 0.017205654530931775)",-,-,"(1.5176682720996313, 0.16428705135862692)","(2.2440480772024833, 0.08604493509714788)","(0.961105854508896, 0.2471749989795125)"
MuonEnDown,"(2.4921601623899674, 0.017185737457784213)",-,-,"(1.6024494639580062, 0.16703935156303934)","(2.259236408758842, 0.08624637818102025)","(0.9679099047914045, 0.24718357123824614)"
NonpromptUp,-,"(6.802886312824282, 2.5840329598753886)",-,-,-,-
NonpromptDown,-,"(2.089110803701624, 1.0846233162599817)",-,-,-,-
ConversionUp,-,-,"(0.13690148827845985, 0.09802281940626079)",-,-,-
ConversionDown,-,-,"(0.06318146029633409, 0.0452385503644363)",-,-,-
