syst,signal,nonprompt,conversion,diboson,ttX,others
Central,"(3.4422647788114777, 0.02022086940640199)","(7.947644226197081, 2.0199306012406346)","(1.6449763563734552, 1.200432655731121)","(1.5285592037909292, 0.14388140583852008)","(1.6698217303751737, 0.06946864579752984)","(0.5109582098718889, 0.04341227803183278)"
L1PrefireUp,"(3.4072602030804, 0.020027769173536113)",-,-,"(1.514706105529397, 0.14269251996036034)","(1.6501279637802144, 0.06871757776050744)","(0.5044809630764098, 0.04280480296685505)"
L1PrefireDown,"(3.476270169770902, 0.02041053539205372)",-,-,"(1.5418424211459958, 0.1450592892849004)","(1.6890705581253644, 0.0702194317297641)","(0.5173320695143606, 0.04404632758213019)"
PileupReweightUp,"(3.406638979918175, 0.02172533331512993)",-,-,"(1.5284676100036503, 0.15092682653769693)","(1.6627216217853287, 0.07416347853904687)","(0.505183764602969, 0.0459497220915671)"
PileupReweightDown,"(3.4783681506905024, 0.019543563823197052)",-,-,"(1.52290940510958, 0.13902357093904794)","(1.6729568952993157, 0.06703265854284139)","(0.5171228433811268, 0.04206992253305265)"
MuonIDSFUp,"(3.5327143556541984, 0.02075693345623811)",-,-,"(1.5666322952135572, 0.1472545805926623)","(1.7094833225618242, 0.07108055338049526)","(0.5225958039836367, 0.044405298529683314)"
MuonIDSFDown,"(3.353121717575506, 0.019696400752358772)",-,-,"(1.4910060834837948, 0.14056934124241793)","(1.6306923975037109, 0.06789027115994832)","(0.4994820327767057, 0.04243855571836236)"
DblMuTrigSFUp,"(3.4427497524405055, 0.020223711243125914)",-,-,"(1.5288090363629554, 0.14390379216001473)","(1.670092411758896, 0.0694799062412834)","(0.5110285761192125, 0.043418387289780806)"
DblMuTrigSFDown,"(3.441773669164945, 0.020217991819466718)",-,-,"(1.5283058078490843, 0.14385870690626418)","(1.6695471329709772, 0.06945721977361789)","(0.510886864296787, 0.043406088179528575)"
JetResUp,"(3.442092856260428, 0.020219894500167424)",-,-,"(1.5316656814555616, 0.1444216223706081)","(1.669248457996378, 0.0694668407838892)","(0.5135404640060751, 0.04345282203848094)"
JetResDown,"(3.441633888884503, 0.020215647924520824)",-,-,"(1.5182243840656853, 0.14518890804509174)","(1.6635073715243611, 0.06940344955770876)","(0.5047467044799283, 0.043339073359825966)"
JetEnUp,"(3.4650990180910957, 0.0202875381870597)",-,-,"(1.582892260280562, 0.14475291068087898)","(1.6706517854721765, 0.06952997950664215)","(0.5196133789605808, 0.043650353381136354)"
JetEnDown,"(3.4160779265914245, 0.02013837809359325)",-,-,"(1.3942213651813502, 0.13871547167067808)","(1.6596115871994783, 0.06936005316417815)","(0.49221369478838395, 0.04302882236809741)"
MuonEnUp,"(3.4439813335762675, 0.02022344912423713)",-,-,"(1.5317909949669226, 0.14417437348109377)","(1.6663955392124523, 0.0696117185044992)","(0.5123442550731508, 0.043474580176660574)"
MuonEnDown,"(3.4398536237807855, 0.02021130378397133)",-,-,"(1.53712260608063, 0.14618732582844976)","(1.6722989533309982, 0.069551766074439)","(0.5161390719907338, 0.04353822022720239)"
NonpromptUp,-,"(15.393206446967307, 3.3467641290144865)",-,-,-,-
NonpromptDown,-,"(4.144696649910331, 1.7975991328223766)",-,-,-,-
ConversionUp,-,-,"(2.974315882531199, 2.3531490408652957)",-,-,-
ConversionDown,-,-,"(0.31563683021571065, 0.1707761872441307)",-,-,-
