syst,signal,nonprompt,conversion,diboson,ttX,others
Central,79.40082892773998,20.43018731405296,0.11244453217559536,8.163956385353247,10.308378279257678,3.080025559882236
L1PrefireUp,79.00712891201245,-,-,8.111903843484999,10.241357348810629,3.0472756276597064
L1PrefireDown,79.78790150094416,-,-,8.215881718436291,10.374671203489575,3.1129016787200214
PileupReweightUp,78.87954116105584,-,-,8.310886983280167,10.253294895769766,3.0800359660136105
PileupReweightDown,79.78047731019436,-,-,7.982354333774125,10.334262501189107,3.11212523835803
MuonIDSFUp,80.49066009657909,-,-,8.266380439254451,10.455657801776779,3.1261904695381046
MuonIDSFDown,78.3206312893301,-,-,8.062271767860793,10.162532898929479,3.034377372060092
DblMuTrigSFUp,79.41439612842801,-,-,8.16524834038954,10.310281828454873,3.0805127643627803
DblMuTrigSFDown,79.38713338687269,-,-,8.162651614038207,10.30645633272395,3.0795337750014546
JetResUp,79.58553638248901,-,-,8.26633922619659,10.32314795075178,3.1278373978212577
JetResDown,79.1719740349544,-,-,8.302262397968644,10.298715767741948,3.1428720122879175
JetEnUp,80.77817366441022,-,-,8.448460187254751,10.376733513241733,3.1296124417966555
JetEnDown,77.99080676921078,-,-,7.87147508308591,10.268331828309897,3.087114151892959
MuonEnUp,79.42784836599952,-,-,8.175107920899379,10.331574365890782,3.0988960730854114
MuonEnDown,79.36257526614777,-,-,8.195027873637262,10.323992367505127,3.119584143308827
ElectronEnUp,79.40082892773998,-,-,8.163956385353247,10.308378279257678,3.080025559882236
ElectronEnDown,79.40082892773998,-,-,8.163956385353247,10.308378279257678,3.081143463453387
ElectronResUp,79.40082892773998,-,-,8.163956385353247,10.308378279257678,3.080025559882236
ElectronResDown,79.40082892773998,-,-,8.163956385353247,10.308378279257678,3.080025559882236
NonpromptUp,-,45.86293910885166,-,-,-,-
NonpromptDown,-,7.051035468495657,-,-,-,-
ConversionUp,-,-,0.1545545103269079,-,-,-
ConversionDown,-,-,0.07033455402428282,-,-,-
