masspoint,mA,mAErr,sigma,sigmaErr,width,widthErr
MHc-70_MA-15,14.986866060334178,0.0013607691837796943,0.11388210961659423,0.0025330144786951505,0.1157623327065897,0.004186588519305367
MHc-70_MA-40,39.95434078120399,0.0031127953442649297,0.31504574887234205,0.006862801812455635,0.36672779772926833,0.0121011427582207
MHc-70_MA-65,64.90604638703846,0.0051728727766339,0.5719550463031997,0.010293406793109916,0.6453938395219688,0.018059019001789006
MHc-100_MA-15,14.987206957369443,0.00162826756570962,0.10953935229420253,0.0031301272979064915,0.11271312330428085,0.005044058836082043
MHc-100_MA-60,59.91347455352315,0.00434185517733653,0.5183656968410719,0.008200903387434354,0.5342152494295566,0.014037942229308382
MHc-100_MA-95,94.83182686155577,0.007909270899468631,0.9247770209854466,0.01600241788585755,0.9983917165021048,0.028498652568154804
MHc-130_MA-15,14.986511471388702,0.0012150262339594854,0.11885206656558822,0.0021976846989338514,0.10320333652536579,0.00363664952474149
MHc-130_MA-55,54.930734328669075,0.003983457956393357,0.4567345226624937,0.008151758146271691,0.49341801468350954,0.014380822396145427
MHc-130_MA-90,89.84821610943521,0.007063827014390575,0.8683891289818693,0.013589959750922703,0.8587499255851754,0.023733466255220687
MHc-130_MA-125,124.7552956462174,0.011222398881701729,1.2760824066892482,0.023855531343527955,1.4197232145633083,0.04267045206369198
MHc-160_MA-15,14.984095090899018,0.001258529668301283,0.12181994436958893,0.002361980080151807,0.11984990993589578,0.003935867075250947
MHc-160_MA-85,84.86645262905785,0.006671901015363405,0.7633899279336858,0.013991188680124184,0.8694334811020605,0.024802777014394876
MHc-160_MA-120,119.76985351416778,0.010888743463905663,1.1606795722100052,0.02361307607313428,1.4621877545422368,0.0410059257274271
MHc-160_MA-155,154.62500991208185,0.0180375826231379,1.6798831161521672,0.04249274659999825,2.0635296221235433,0.07656373996907279
