0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
chromosome,"(128, 'AdamW', 0.001, 'CyclicLR')","(64, 'RMSprop', 0.005, 'StepLR')","(128, 'Adadelta', 0.002, 'StepLR')","(128, 'Adadelta', 0.002, 'CyclicLR')","(128, 'Adadelta', 0.01, 'StepLR')","(128, 'AdamW', 0.01, 'CyclicLR')","(64, 'AdamW', 0.005, 'StepLR')","(64, 'Adadelta', 0.001, 'ExponentialLR')","(128, 'Adam', 0.002, 'StepLR')","(128, 'AdamW', 0.002, 'StepLR')","(128, 'Adam', 0.002, 'CyclicLR')","(64, 'Adam', 0.001, 'ExponentialLR')","(64, 'AdamW', 0.001, 'CyclicLR')","(64, 'AdamW', 0.001, 'ExponentialLR')","(64, 'Adam', 0.002, 'StepLR')","(128, 'Adam', 0.002, 'ExponentialLR')","(64, 'Adam', 0.001, 'StepLR')","(128, 'AdamW', 0.001, 'StepLR')"
fitness,0.5359889565195356,0.8155411865370615,0.7278620934713453,0.7183205643381392,0.782826410883949,0.5799552548272269,0.5517951861790248,0.6984288646153042,0.5411426512400309,0.5403820121628898,0.5398558104605901,0.5388892744155158,0.5376546561604455,0.5374986908322288,0.5369349191302345,0.5369181387538002,0.5366825760659717,0.5362988544418699
