0,1,2,3,4,5,6,7,8,9,10,11,12,13
chromosome,"(128, 'Adadelta', 0.01, 'StepLR')","(128, 'RMSprop', 0.001, 'StepLR')","(32, 'Adadelta', 0.002, 'StepLR')","(32, 'AdamW', 0.0001, 'StepLR')","(32, 'RMSprop', 0.01, 'StepLR')","(32, 'Adadelta', 0.002, 'StepLR')","(32, 'Adam', 0.002, 'StepLR')","(64, 'Adam', 0.0005, 'StepLR')","(64, 'Adadelta', 0.01, 'StepLR')","(32, 'Adam', 0.01, 'CyclicLR')","(64, 'Adam', 0.002, 'StepLR')","(128, 'Adadelta', 0.0001, 'CyclicLR')","(32, 'RMSprop', 0.0005, 'StepLR')","(32, 'AdamW', 0.01, 'CyclicLR')"
fitness,0.0007218378963213999,0.0005576702929324,0.0006980937062984,0.0006124311050488,0.0006305202870142,0.0006980937062984,0.0005720870789317,0.0005858487532961001,0.0007087551046695,0.0005881655063657,0.0005616124329112001,0.000707962291936,0.0005745466181211001,0.000580191001296
