# syst, prompt_ratio, error
Central, 0.10073368282971942, 5.1953968228756945e-05
PileupReweight, 0.09882751225933262, 6.21605792303423e-05
L1PrefireUp, 0.10077953809935547, 4.932135008588143e-05
L1PrefireDown, 0.10069479390701204, 5.46920913596609e-05
ElectronRecoSFUp, 0.09957176607479448, 4.9489167469437054e-05
ElectronRecoSFDown, 0.10073368282971942, 5.1953968228756945e-05
HeavyTagUpUnCorr, 0.1007068619028931, 5.1664320713050374e-05
HeavyTagDownUnCorr, 0.10076028534897591, 5.223045963889806e-05
LightTagUpUnCorr, 0.10061354620566584, 5.1470370198587226e-05
LightTagDownUnCorr, 0.1008544380709188, 5.243178374912905e-05
JetResUp, 0.10191723033781651, 5.275129377096059e-05
JetResDown, 0.10037939808619592, 5.345406570464665e-05
JetEnUp, 0.09980815547804488, 4.99506153033347e-05
JetEnDown, 0.10185893523225968, 5.517581579267136e-05
ElectronResUp, 0.10073351319186555, 5.262349598074824e-05
ElectronResDown, 0.10073368282971942, 5.1953968228756945e-05
ElectronEnUp, 0.10068411922754895, 5.2496196363632196e-05
ElectronEnDown, 0.10079936587140405, 5.197213772620189e-05
MuonEnUp, 0.10073360865364393, 5.195388539290535e-05
MuonEnDown, 0.1007337699197597, 5.1954756487602545e-05
total error = 0.002770366739516121(2.75%)
