# syst, prompt_ratio, error
Central, 0.5923554648290147, 4.953866963927325e-05
PileupReweight, 0.5908168587501912, 5.0476317920589305e-05
L1PrefireUp, 0.5921349523348995, 4.9367060857268745e-05
L1PrefireDown, 0.5925805211437207, 4.971235852225424e-05
MuonRecoSFUp, 0.592358787165966, 4.954448803876606e-05
MuonRecoSFDown, 0.5923521371739722, 4.9532839325158846e-05
HeavyTagUpUnCorr, 0.5921730022408094, 4.935714431596821e-05
HeavyTagDownUnCorr, 0.5925386492053337, 4.96997408877332e-05
LightTagUpUnCorr, 0.5915984646972076, 4.902561812417707e-05
LightTagDownUnCorr, 0.5931143937065064, 5.003498975242325e-05
JetResUp, 0.5909397847863487, 5.0491460181408904e-05
JetResDown, 0.5888696499728499, 4.874692343411932e-05
JetEnUp, 0.5958192402255843, 5.284176106677967e-05
JetEnDown, 0.5947862807782923, 4.7609358425137095e-05
ElectronResUp, 0.5923554958321842, 4.953866613052937e-05
ElectronResDown, 0.5923554648742523, 4.953866995576147e-05
ElectronEnUp, 0.5923552260431412, 4.953846771905428e-05
ElectronEnDown, 0.5923562760030247, 4.953867326414255e-05
MuonEnUp, 0.5889515008876292, 4.8511236572468006e-05
MuonEnDown, 0.5950622080259724, 5.126745449790644e-05
total error = 0.006226200294163009(1.05%)
