# syst, prompt_ratio, error
Central, 0.27454832551833014, 2.9059615769064645e-05
PileupReweight, 0.2725011644700291, 2.888328942293817e-05
L1PrefireUp, 0.2744818571600799, 2.8481315214762e-05
L1PrefireDown, 0.2746240062296027, 2.9647366023487072e-05
ElectronRecoSFUp, 0.27264832346385737, 2.8459920000285548e-05
ElectronRecoSFDown, 0.27454832551833014, 2.9059615769064645e-05
HeavyTagUpUnCorr, 0.27435022739028947, 2.9037256425247494e-05
HeavyTagDownUnCorr, 0.2747460367131469, 2.9079131796163258e-05
LightTagUpUnCorr, 0.2747701200777536, 2.909869104422353e-05
LightTagDownUnCorr, 0.2743257325462459, 2.9018287726479326e-05
JetResUp, 0.2731066295929192, 2.821127885585822e-05
JetResDown, 0.2741327742476184, 2.955572606515638e-05
JetEnUp, 0.2724857320367843, 2.7775984843073274e-05
JetEnDown, 0.27907668555779047, 3.2224858110629336e-05
ElectronResUp, 0.2745934587459698, 2.906523392120694e-05
ElectronResDown, 0.27454832551833014, 2.9059615769064645e-05
ElectronEnUp, 0.2744690756802137, 2.8841204068943032e-05
ElectronEnDown, 0.27459347284766666, 2.8220295345675255e-05
MuonEnUp, 0.2745481399272496, 2.905955287930562e-05
MuonEnDown, 0.27454876350388985, 2.905976462352458e-05
total error = 0.0055216925141482985(2.01%)
