,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,930360.080800791,118183.25867545087
ptCorr_10to15_abseta_0p8to1p479,908664.0791370316,119268.30631245793
ptCorr_10to15_abseta_1p479to2p5,3069106.004146616,229603.62926803483
ptCorr_15to20_abseta_0p0to0p8,1087114.6164046237,142584.80322121741
ptCorr_15to20_abseta_0p8to1p479,1266450.673088687,142063.53272578435
ptCorr_15to20_abseta_1p479to2p5,5785617.970764225,315531.6378908838
ptCorr_20to25_abseta_0p0to0p8,2316467.25460114,200021.29798358207
ptCorr_20to25_abseta_0p8to1p479,3102803.908265262,238983.53654257196
ptCorr_20to25_abseta_1p479to2p5,12516929.553286182,480910.9597557365
ptCorr_25to35_abseta_0p0to0p8,5236371.864567491,304438.68690720253
ptCorr_25to35_abseta_0p8to1p479,6007082.957010952,326218.0864056066
ptCorr_25to35_abseta_1p479to2p5,21620976.711331584,609850.5258908911
ptCorr_35to50_abseta_0p0to0p8,4239791.546042072,233738.06994687492
ptCorr_35to50_abseta_0p8to1p479,4695062.988972863,232024.02356952248
ptCorr_35to50_abseta_1p479to2p5,20592172.145956144,485076.7503245757
ptCorr_50to100_abseta_0p0to0p8,2695688.9657513206,117786.50797810963
ptCorr_50to100_abseta_0p8to1p479,3369619.405644341,126108.56429664946
ptCorr_50to100_abseta_1p479to2p5,17709442.174772657,290242.0034901459
