,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,16275689.417470893,105544.93798912357
ptCorr_10to15_abseta_0p8to1p479,10536576.143641068,84960.79994422822
ptCorr_10to15_abseta_1p479to2p5,9917943.809609639,82358.74456334936
ptCorr_15to20_abseta_0p0to0p8,5788039.750894541,62748.416223871456
ptCorr_15to20_abseta_0p8to1p479,4549179.933241993,55587.76502093833
ptCorr_15to20_abseta_1p479to2p5,5255370.727115801,59612.756876000065
ptCorr_20to25_abseta_0p0to0p8,2349658.4663938405,39760.4902670244
ptCorr_20to25_abseta_0p8to1p479,2005814.2865960854,36762.42643006554
ptCorr_20to25_abseta_1p479to2p5,2562362.5932530933,41221.95468393553
ptCorr_25to35_abseta_0p0to0p8,1645033.7991889343,33011.686295356085
ptCorr_25to35_abseta_0p8to1p479,1517179.3011570498,31660.261973532717
ptCorr_25to35_abseta_1p479to2p5,1974739.3201766857,35682.434933009856
ptCorr_35to50_abseta_0p0to0p8,585742.6392934071,18913.133151086222
ptCorr_35to50_abseta_0p8to1p479,625920.5611718959,19428.31212143658
ptCorr_35to50_abseta_1p479to2p5,742260.496088987,20537.25142345441
ptCorr_50to100_abseta_0p0to0p8,215103.65921716127,8395.241444939957
ptCorr_50to100_abseta_0p8to1p479,235711.7829255775,8860.185191404582
ptCorr_50to100_abseta_1p479to2p5,353165.8992489065,11116.74536458976
