,Central,Stat
ptCorr_10to15_abseta_0p0to0p8,610476.4215767732,97174.46771542015
ptCorr_10to15_abseta_0p8to1p479,578893.4060013999,94531.53024532547
ptCorr_10to15_abseta_1p479to2p5,1770835.8598261713,170974.8115714235
ptCorr_15to20_abseta_0p0to0p8,423065.706736501,86191.99711973978
ptCorr_15to20_abseta_0p8to1p479,350548.6773534752,65929.6036673956
ptCorr_15to20_abseta_1p479to2p5,2103644.4078943683,186843.97030484656
ptCorr_20to25_abseta_0p0to0p8,623715.7612558196,99396.53579281202
ptCorr_20to25_abseta_0p8to1p479,940561.4808470485,125174.7493297815
ptCorr_20to25_abseta_1p479to2p5,3869560.150486078,264326.3187072559
ptCorr_25to35_abseta_0p0to0p8,738711.7652233106,108307.2164152815
ptCorr_25to35_abseta_0p8to1p479,1158491.9238207992,141404.89330421702
ptCorr_25to35_abseta_1p479to2p5,4888587.464629689,300119.7064318772
ptCorr_35to50_abseta_0p0to0p8,473105.92205777625,77336.21838090991
ptCorr_35to50_abseta_0p8to1p479,763639.852067348,94536.39831412873
ptCorr_35to50_abseta_1p479to2p5,3393035.8978336398,212245.10038375756
ptCorr_50to100_abseta_0p0to0p8,368317.71261773957,38657.10236991713
ptCorr_50to100_abseta_0p8to1p479,638596.0106882614,56169.037600348056
ptCorr_50to100_abseta_1p479to2p5,2420870.0661136312,106357.47413090408
